# CR-2144 printed p.218, PDF page 223, top panel, alpha_0 (deg) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 12/10/8/6/4/2/0
# tick fit residual: x 0.6 px, y 1.9 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: 7.4443   [model carries: not supplied]
# circle 9 (FC9) reads: 4.7197   [model carries: not supplied]
# circle 10 (FC10) reads: 2.475   [model carries: not supplied]
mach,value
0.6599,8.3639
0.6650,8.2944
0.6701,8.1659
0.6752,8.0326
0.6803,7.8908
0.6854,7.748
0.6904,7.6042
0.6955,7.4614
0.7006,7.3186
0.7057,7.1749
0.7108,7.0321
0.7159,6.8902
0.7209,6.7503
0.7260,6.6008
0.7311,6.4485
0.7362,6.3067
0.7413,6.1782
0.7464,6.0392
0.7515,5.8554
0.7565,5.7526
0.7616,5.5946
0.7667,5.4908
0.7718,5.3547
0.7769,5.2271
0.7820,5.1034
0.7870,4.9739
0.7921,4.8473
0.7972,4.7197
0.8023,4.5912
0.8074,4.4646
0.8125,4.338
0.8176,4.2171
0.8226,4.0981
0.8277,3.9658
0.8328,3.8401
0.8379,3.743
0.8438,3.5888
0.8489,3.4641
0.8540,3.3415
0.8591,3.2206
0.8642,3.1118
0.8693,2.9948
0.8743,2.8748
0.8794,2.7872
0.8845,2.7044
0.8896,2.6187
0.8947,2.5321
0.8998,2.4455
0.9048,2.3588
0.9099,2.2732
0.9150,2.1875
0.9201,2.1132
0.9252,2.0771
0.9260,2.0752
