# CR-2144 printed p.218, PDF page 223, bottom panel, delta_s (deg) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 2/0/-2/-4
# tick fit residual: x 0.6 px, y 0.7 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: -0.5285   [model carries: not supplied]
# circle 6 (FC6) reads: 0.68847   [model carries: not supplied]
# circle 7 (FC7) reads: 1.635   [model carries: not supplied]
# circle 7 (FC7) reads: 0.1476   [model carries: not supplied]
# manual clip applied: Mach 0.4 to 0.88
mach,value
0.4003,-1.43
0.4054,-1.3896
0.4105,-1.3417
0.4155,-1.2976
0.4206,-1.2609
0.4308,-1.1821
0.4358,-1.1088
0.4409,-1.0619
0.4460,-1.0168
0.4510,-0.97265
0.4604,-0.90222
0.4654,-0.84213
0.4705,-0.79424
0.4756,-0.74165
0.4806,-0.70128
0.4857,-0.65714
0.4908,-0.61207
0.4959,-0.567
0.5009,-0.5238
0.5060,-0.47685
0.5111,-0.43178
0.5162,-0.3867
0.5212,-0.34163
0.5263,-0.29844
0.5314,-0.25806
0.5365,-0.20829
0.5415,-0.16791
0.5965,0.11004
0.6016,0.34573
0.6067,0.3955
0.6117,0.43587
0.6168,0.47437
0.6219,0.51475
0.6269,0.55231
0.6320,0.59363
0.6371,0.63401
0.6422,0.67532
0.6472,0.71476
0.6523,0.75608
0.6574,0.7974
0.6625,0.83777
0.6675,0.87721
0.6726,0.8913
0.6777,0.95125
0.6828,1.0031
0.6878,0.73073
0.6929,0.31474
0.6980,0.84341
0.7031,1.143
0.7081,1.1739
0.7132,1.204
0.7183,0.01989
0.7234,-0.20078
0.7284,1.0904
0.7335,1.3279
0.7386,1.3542
0.7436,1.3937
0.7555,1.4294
0.7606,1.4848
0.7656,1.5054
0.7707,1.4593
0.7758,1.3264
0.7809,1.2013
0.7859,1.0809
0.7910,0.96313
0.7961,0.89928
0.8012,0.89505
0.8062,0.84529
0.8113,0.73139
0.8164,0.61184
0.8214,0.4871
0.8265,0.32702
0.8316,1.0876
0.8367,1.7411
0.8417,1.7364
0.8477,1.7345
0.8527,1.727
0.8578,1.7186
0.8629,1.7026
0.8680,1.6272
0.8730,1.5209
0.8781,1.4233
0.8798,1.3986
