# CR-2144 printed p.218, PDF page 223, bottom panel, delta_s (deg) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 2/0/-2/-4
# tick fit residual: x 0.6 px, y 0.7 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: 1.0265   [model carries: not supplied]
# circle 4 (FC4) reads: 1.9899   [model carries: not supplied]
# manual clip applied: Mach - to 0.7
mach,value
0.2988,-0.95105
0.3039,-0.90129
0.3090,-0.79893
0.3141,-0.68531
0.3191,-0.5792
0.3242,-0.47497
0.3293,-0.37919
0.3343,-0.28905
0.3394,-0.1989
0.3445,-0.12941
0.3496,-0.026356
0.3606,0.085387
0.3656,0.2415
0.3707,0.28
0.3758,0.33822
0.3809,0.40395
0.3859,0.46029
0.3910,0.51663
0.3961,0.57297
0.4012,0.63025
0.4062,0.67814
0.4113,0.72979
0.4164,0.77956
0.4215,0.82745
0.4265,0.86876
0.4316,0.90726
0.4367,0.95046
0.4417,0.99365
0.4468,1.0359
0.4519,1.081
0.4570,1.127
0.4620,1.1702
0.4671,1.2134
0.4722,1.2509
0.4773,1.2894
0.4823,1.3289
0.4874,1.3617
0.4925,1.3937
0.4976,1.4247
0.5026,1.4566
0.5077,1.4876
0.5128,1.5157
0.5179,1.5458
0.5229,1.5768
0.5280,1.6021
0.5331,1.6275
0.5382,1.6519
0.5432,1.6754
0.5483,1.7007
0.5534,1.7214
0.5584,1.7439
0.5635,1.7702
0.5686,1.789
0.5737,1.8078
0.5787,1.8256
0.5838,1.8416
0.5889,1.8575
0.5940,1.8716
0.5990,1.8867
0.6041,1.8979
0.6092,1.9092
0.6143,1.9176
0.6193,1.9289
0.6244,1.9308
0.6295,1.9308
0.6346,1.9308
0.6396,1.9308
0.6447,1.9308
0.6498,1.9308
0.6549,1.9308
0.6599,1.9308
0.6650,1.9308
0.6701,1.9308
0.6751,1.9411
0.6802,1.9374
0.6853,1.9308
0.6895,1.9355
