# CR-2144 printed p.219, PDF page 224, top panel, C_D vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0.1/0.2/0.5/1 (log) ; y px->value from ticks 0.2/0.1/0.05/0.02/0.01 (log)
# tick fit residual: x 0.5 px, y 0.6 px (1 px = 0.00134 Mach in log10)
# circle 5 (FC5) reads: 0.040361   [model carries: not supplied]
# circle 6 (FC6) reads: 0.022513   [model carries: not supplied]
# circle 7 (FC7) reads: 0.017879   [model carries: not supplied]
# manual clip applied: Mach 0.4 to 0.94
# extra trace seed used to pick up a branch carrying no marker
mach,value
0.4266,0.066907
0.4319,0.065954
0.4373,0.064573
0.4427,0.06231
0.4482,0.058133
0.4538,0.05286
0.4594,0.048175
0.4651,0.046457
0.4709,0.04457
0.4768,0.043162
0.4827,0.041827
0.4887,0.040811
0.4948,0.040382
0.5010,0.040361
0.5072,0.040004
0.5135,0.039113
0.5199,0.037922
0.5264,0.036731
0.5329,0.035563
0.5396,0.034443
0.5446,0.033623
0.5497,0.032547
0.5548,0.031652
0.5600,0.030463
0.5687,0.02927
0.5740,0.027733
0.5793,0.026539
0.5847,0.025807
0.5902,0.025465
0.5957,0.025236
0.6012,0.024941
0.6068,0.024607
0.6125,0.024269
0.6182,0.023939
0.6239,0.023615
0.6298,0.023298
0.6356,0.02299
0.6416,0.022682
0.6475,0.022375
0.6536,0.022068
0.6597,0.02175
0.6658,0.02144
0.6720,0.021142
0.6783,0.020866
0.6846,0.0206
0.6910,0.020335
0.6974,0.020076
0.7039,0.019821
0.7105,0.019606
0.7171,0.019416
0.7238,0.019228
0.7305,0.019048
0.7373,0.018896
0.7442,0.018783
0.7511,0.018671
0.7581,0.018551
0.7652,0.018428
0.7723,0.018308
0.7795,0.018187
0.7868,0.018069
0.7941,0.017949
0.8015,0.017833
0.8090,0.017715
0.8140,0.017637
0.8190,0.017562
0.8241,0.017484
0.8292,0.017406
0.8344,0.017329
0.8396,0.017255
0.8448,0.017179
0.8500,0.017103
0.8553,0.017036
0.8606,0.016969
0.8659,0.016917
0.8713,0.01688
0.8767,0.016857
0.8821,0.016845
