# CR-2144 printed p.219, PDF page 224, top panel, C_D vs Mach, SL curve
# calibration: x px->Mach from ticks 0.1/0.2/0.5/1 (log) ; y px->value from ticks 0.2/0.1/0.05/0.02/0.01 (log)
# tick fit residual: x 0.5 px, y 0.6 px (1 px = 0.00134 Mach in log10)
# circle 3 (FC3) reads: 0.022375   [model carries: not supplied]
# circle 4 (FC4) reads: 0.016355   [model carries: not supplied]
# manual clip applied: Mach - to 0.74
mach,value
0.2953,0.06214
0.3008,0.060553
0.3064,0.057372
0.3122,0.054037
0.3180,0.050895
0.3240,0.047943
0.3290,0.045689
0.3341,0.043513
0.3393,0.041576
0.3446,0.039799
0.3500,0.038121
0.3554,0.036563
0.3610,0.035035
0.3666,0.033606
0.3723,0.032312
0.3781,0.031084
0.3840,0.029918
0.3900,0.028869
0.3961,0.027848
0.4022,0.026932
0.4072,0.026291
0.4123,0.025679
0.4174,0.025116
0.4226,0.024628
0.4279,0.024223
0.4332,0.023825
0.4386,0.023394
0.4441,0.022957
0.4496,0.022538
0.4552,0.022126
0.4609,0.021687
0.4666,0.021269
0.4724,0.020912
0.4783,0.020569
0.4842,0.020248
0.4902,0.019926
0.4963,0.019579
0.5025,0.01928
0.5088,0.019055
0.5151,0.018835
0.5215,0.01862
0.5280,0.018418
0.5346,0.018234
0.5412,0.018054
0.5463,0.017922
0.5514,0.017806
0.5565,0.017682
0.5617,0.017568
0.5669,0.017445
0.5722,0.017329
0.5775,0.017223
0.5829,0.017118
0.5883,0.017027
0.5938,0.016917
0.5994,0.016834
0.6050,0.016765
0.6106,0.016731
0.6163,0.016679
0.6220,0.016622
0.6278,0.016557
0.6337,0.016504
0.6396,0.01645
0.6455,0.016397
0.6515,0.016347
0.6576,0.016294
0.6637,0.016241
0.6699,0.016188
0.6762,0.016139
0.6825,0.016092
0.6888,0.016045
0.6953,0.016004
0.7017,0.015966
0.7083,0.015944
0.7127,0.015936
