# CR-2144 printed p.219, PDF page 224, bottom panel, C_L vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0.1/0.2/0.5/1 (log) ; y px->value from ticks 2/1/0.5/0.2/0.1 (log)
# tick fit residual: x 0.7 px, y 0.5 px (1 px = 0.00134 Mach in log10)
# circle 8 (FC8) reads: 0.85994   [model carries: not supplied]
# circle 9 (FC9) reads: 0.6538   [model carries: not supplied]
# circle 10 (FC10) reads: 0.52379   [model carries: not supplied]
# manual clip applied: Mach - to 1.0
mach,value
0.4505,1.9752
0.4562,1.9581
0.4618,1.9232
0.4676,1.8774
0.4734,1.8298
0.4793,1.7865
0.4853,1.7463
0.4913,1.7073
0.4975,1.6675
0.5037,1.6269
0.5099,1.5854
0.5163,1.5442
0.5227,1.5053
0.5292,1.4702
0.5358,1.4354
0.5425,1.3979
0.5476,1.3737
0.5527,1.3536
0.5578,1.3252
0.5630,1.2974
0.5683,1.2704
0.5736,1.2538
0.5789,1.234
0.5843,1.212
0.5898,1.1916
0.5953,1.1704
0.6009,1.1488
0.6065,1.1272
0.6121,1.1066
0.6178,1.0863
0.6236,1.0639
0.6294,1.0417
0.6353,1.0213
0.6412,1.0043
0.6472,0.98791
0.6532,0.97099
0.6593,0.95338
0.6655,0.93673
0.6717,0.92052
0.6780,0.9046
0.6843,0.88819
0.6907,0.87253
0.6971,0.85744
0.7036,0.84261
0.7102,0.82746
0.7168,0.81028
0.7235,0.78917
0.7302,0.76816
0.7371,0.74914
0.7439,0.73412
0.7509,0.7194
0.7579,0.70498
0.7650,0.69084
0.7721,0.677
0.7793,0.66475
0.7866,0.65707
0.7939,0.65276
0.8013,0.64768
0.8088,0.63877
0.8138,0.63105
0.8189,0.62333
0.8240,0.6157
0.8291,0.60816
0.8342,0.60072
0.8394,0.59336
0.8446,0.5861
0.8499,0.57892
0.8551,0.57184
0.8605,0.56484
0.8658,0.55792
0.8712,0.55109
0.8766,0.54435
0.8820,0.53768
0.8875,0.53201
0.8930,0.52765
0.8986,0.52345
0.9042,0.51923
0.9098,0.51475
0.9154,0.50895
0.9211,0.50252
0.9268,0.49617
0.9326,0.4899
0.9384,0.48371
0.9442,0.4776
0.9501,0.47157
0.9560,0.46561
0.9619,0.4585
0.9679,0.45068
0.9739,0.44297
0.9799,0.43535
0.9860,0.42753
0.9921,0.42273
0.9983,0.41892
