# CR-2144 printed p.219, PDF page 224, bottom panel, C_L vs Mach, SL curve
# calibration: x px->Mach from ticks 0.1/0.2/0.5/1 (log) ; y px->value from ticks 2/1/0.5/0.2/0.1 (log)
# tick fit residual: x 0.7 px, y 0.5 px (1 px = 0.00134 Mach in log10)
# circle 3 (FC3) reads: 0.37909   [model carries: not supplied]
# circle 4 (FC4) reads: 0.18216   [model carries: not supplied]
mach,value
0.2170,1.5559
0.2224,1.5102
0.2280,1.4394
0.2337,1.3704
0.2388,1.3144
0.2441,1.2621
0.2494,1.2097
0.2549,1.1587
0.2605,1.1113
0.2662,1.0637
0.2720,1.0186
0.2771,0.98286
0.2823,0.94655
0.2876,0.91315
0.2930,0.88108
0.2985,0.84897
0.3041,0.81944
0.3098,0.79066
0.3156,0.76158
0.3215,0.73383
0.3265,0.71243
0.3316,0.69153
0.3368,0.67057
0.3420,0.6499
0.3474,0.63073
0.3528,0.61244
0.3583,0.59489
0.3639,0.57665
0.3696,0.55811
0.3753,0.54045
0.3812,0.52379
0.3871,0.50869
0.3932,0.49386
0.3993,0.47823
0.4055,0.46183
0.4106,0.45051
0.4157,0.44075
0.4209,0.43076
0.4261,0.42028
0.4314,0.41006
0.4368,0.40045
0.4422,0.39034
0.4478,0.38075
0.4533,0.37164
0.4590,0.36259
0.4647,0.35371
0.4705,0.34517
0.4764,0.33734
0.4823,0.32987
0.4883,0.32162
0.4944,0.31304
0.5005,0.30511
0.5068,0.29754
0.5131,0.29025
0.5195,0.28318
0.5260,0.2762
0.5325,0.26939
0.5392,0.26288
0.5442,0.25815
0.5493,0.25351
0.5544,0.24891
0.5596,0.24444
0.5648,0.23997
0.5701,0.23561
0.5754,0.23126
0.5807,0.22703
0.5862,0.22257
0.5916,0.21831
0.5971,0.21424
0.6027,0.21057
0.6083,0.20689
0.6140,0.20321
0.6197,0.19949
0.6255,0.19583
0.6314,0.19225
0.6373,0.18873
0.6432,0.18529
0.6492,0.1819
0.6553,0.17857
0.6614,0.17529
0.6675,0.17208
0.6738,0.16893
0.6801,0.16583
0.6864,0.1628
0.6928,0.15987
0.6993,0.15716
0.7058,0.15452
0.7124,0.15177
0.7190,0.14889
0.7257,0.14609
0.7325,0.14342
0.7393,0.14101
0.7462,0.13854
0.7532,0.13626
0.7602,0.13382
0.7673,0.13146
0.7745,0.12912
0.7817,0.12684
0.7890,0.12467
0.7964,0.12276
0.8038,0.12128
0.8113,0.12045
