# CR-2144 printed p.220, PDF page 225, bottom panel, C_Dalpha (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 1.2/0.8/0.4/0
# tick fit residual: x 1.3 px, y 0.4 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: 0.36878   [model carries: not supplied]
# circle 6 (FC6) reads: 0.19021   [model carries: not supplied]
# circle 7 (FC7) reads: 0.081364   [model carries: not supplied]
# extra trace seed used to pick up a branch carrying no marker
mach,value
0.4086,1.0366
0.4137,1.0087
0.4188,0.84591
0.4544,0.74691
0.4595,0.54775
0.4646,0.52034
0.4705,0.48884
0.4756,0.45958
0.4807,0.44226
0.4858,0.42802
0.4909,0.41772
0.4959,0.40515
0.5010,0.39174
0.5061,0.37832
0.5112,0.36481
0.5163,0.3512
0.5214,0.33854
0.5265,0.32853
0.5315,0.32031
0.5366,0.3137
0.5417,0.30009
0.5527,0.29744
0.5578,0.28478
0.5629,0.27893
0.5680,0.27241
0.5731,0.26664
0.5867,0.25351
0.5917,0.24274
0.5968,0.23764
0.6019,0.23187
0.6070,0.22658
0.6197,0.21591
0.6248,0.20608
0.6299,0.20117
0.6350,0.19682
0.6401,0.19219
0.6452,0.18756
0.6502,0.18293
0.6553,0.1783
0.6604,0.17367
0.6655,0.16904
0.6706,0.1646
0.6757,0.16007
0.6808,0.15487
0.6859,0.15062
0.6909,0.14656
0.7011,0.14098
0.7062,0.13418
0.7113,0.13116
0.7164,0.12766
0.7215,0.12416
0.7265,0.11963
0.7342,0.11755
0.7393,0.11273
0.7444,0.11018
0.7494,0.10735
0.7545,0.10357
0.7630,0.10187
0.7681,0.097426
0.7732,0.095253
0.7783,0.093458
0.7834,0.091757
0.7884,0.090056
0.7935,0.088356
0.7986,0.086655
0.8037,0.084954
0.8088,0.083254
0.8139,0.081648
0.8190,0.080608
0.8241,0.080986
0.8291,0.08212
0.8342,0.081931
0.8393,0.081364
0.8503,0.081364
0.8554,0.081553
0.8605,0.08212
0.8656,0.082214
0.8707,0.082592
0.8758,0.083726
0.8809,0.084482
0.8826,0.084671
