# CR-2144 printed p.220, PDF page 225, bottom panel, C_Dalpha (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 1.2/0.8/0.4/0
# tick fit residual: x 1.3 px, y 0.4 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: 1.0337   [model carries: not supplied]
# circle 9 (FC9) reads: 0.4283   [model carries: not supplied]
# circle 10 (FC10) reads: 0.52014   [model carries: not supplied]
# manual clip applied: Mach 0.66 to -
mach,value
0.6723,1.0329
0.6774,1.0329
0.6825,1.0329
0.6875,1.0329
0.6926,1.0329
0.6977,0.97203
0.7028,0.87314
0.7079,0.79037
0.7130,0.6971
0.7181,0.62321
0.7232,0.58726
0.7282,0.56508
0.7333,0.54198
0.7384,0.52008
0.7435,0.49964
0.7486,0.48707
0.7537,0.4746
0.7588,0.46647
0.7639,0.45882
0.7689,0.45258
0.7740,0.44767
0.7791,0.44503
0.7842,0.44295
0.7893,0.44087
0.7944,0.43879
0.7995,0.43662
0.8046,0.43473
0.8096,0.43274
0.8147,0.43066
0.8198,0.42849
0.8249,0.4283
0.8300,0.43218
0.8351,0.43879
0.8402,0.44956
0.8478,0.45495
0.8529,0.46855
0.8597,0.47772
0.8647,0.48981
0.8698,0.49765
0.8749,0.50427
0.8800,0.50776
0.8851,0.51041
0.8902,0.51286
0.8953,0.51541
0.9004,0.51792
0.9054,0.52023
0.9105,0.52269
0.9156,0.52515
0.9207,0.52751
0.9258,0.5294
0.9309,0.52997
0.9394,0.5294
0.9444,0.52808
0.9495,0.52647
0.9546,0.52515
0.9597,0.52316
0.9648,0.52099
0.9699,0.51901
0.9750,0.51721
0.9792,0.51674
