# CR-2144 printed p.220, PDF page 225, bottom panel, C_Dalpha (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 1.2/0.8/0.4/0
# tick fit residual: x 1.3 px, y 0.4 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: 0.1647   [model carries: not supplied]
mach,value
0.2916,0.54007
0.2967,0.53315
0.3018,0.51595
0.3069,0.49605
0.3120,0.47724
0.3170,0.45967
0.3221,0.44266
0.3272,0.42575
0.3323,0.40959
0.3374,0.39372
0.3425,0.3787
0.3476,0.36472
0.3527,0.35064
0.3577,0.33732
0.3628,0.32456
0.3679,0.31162
0.3730,0.2999
0.3781,0.28828
0.3832,0.27713
0.3883,0.26645
0.3933,0.25559
0.3984,0.24529
0.4035,0.23537
0.4086,0.22602
0.4137,0.21704
0.4188,0.20835
0.4239,0.20051
0.4290,0.19314
0.4340,0.18718
0.4391,0.18142
0.4442,0.17518
0.4493,0.16876
0.4544,0.16271
0.4595,0.15686
0.4646,0.15062
0.4697,0.14514
0.4747,0.1406
0.4798,0.13664
0.4849,0.13276
0.4900,0.1287
0.4951,0.12454
0.5002,0.12048
0.5053,0.11661
0.5104,0.11245
0.5154,0.10829
0.5205,0.10451
0.5256,0.10092
0.5307,0.097048
0.5358,0.093458
0.5409,0.089584
0.5460,0.086183
0.5510,0.082592
0.5561,0.078908
0.5612,0.075317
0.5663,0.071727
0.5714,0.068609
0.5765,0.065397
0.5816,0.06209
0.5867,0.058216
0.5917,0.05472
0.5968,0.051494
0.6019,0.04786
0.6070,0.045129
0.6121,0.042343
0.6172,0.039131
0.6223,0.036391
0.6274,0.033462
0.6324,0.039508
0.6375,0.056137
0.6426,0.061995
0.6477,0.063507
0.6528,0.061995
0.6579,0.056137
0.6630,0.040957
0.6680,0.020329
0.6731,0.015132
0.6782,0.01466
0.6808,0.014376
