# CR-2144 printed p.220, PDF page 225, top panel, C_Lalpha (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 6/4/2/0
# tick fit residual: x 0.4 px, y 0.6 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: 4.4048   [model carries: not supplied]
# circle 4 (FC4) reads: 3.9949   [model carries: not supplied]
mach,value
0.2987,4.7122
0.3038,4.7079
0.3089,4.6961
0.3140,4.6856
0.3190,4.6743
0.3241,4.6629
0.3292,4.6515
0.3343,4.6401
0.3394,4.6278
0.3445,4.6164
0.3495,4.6045
0.3546,4.5927
0.3597,4.5817
0.3648,4.5713
0.3699,4.5609
0.3750,4.5504
0.3800,4.5386
0.3851,4.5267
0.3902,4.5158
0.3953,4.5044
0.4004,4.493
0.4055,4.4812
0.4105,4.4684
0.4156,4.4584
0.4207,4.4465
0.4258,4.4337
0.4309,4.4233
0.4360,4.4119
0.4410,4.4005
0.4461,4.3891
0.4512,4.3787
0.4563,4.3663
0.4614,4.355
0.4665,4.3436
0.4715,4.3322
0.4766,4.3213
0.4817,4.3104
0.4868,4.2966
0.4919,4.2871
0.4970,4.2772
0.5020,4.2658
0.5071,4.2539
0.5122,4.2439
0.5173,4.233
0.5224,4.2212
0.5275,4.2122
0.5325,4.2003
0.5376,4.1894
0.5427,4.1808
0.5478,4.1704
0.5529,4.16
0.5580,4.15
0.5630,4.1386
0.5681,4.1263
0.5732,4.1159
0.5783,4.1068
0.5834,4.0964
0.5885,4.0869
0.5936,4.076
0.5986,4.066
0.6037,4.0542
0.6088,4.0433
0.6139,4.0328
0.6190,4.0238
0.6241,4.0205
0.6291,4.0186
0.6342,4.012
0.6393,4.0044
0.6444,3.9968
0.6495,3.9901
0.6546,3.9835
0.6596,3.9759
0.6647,3.9683
0.6698,3.9607
0.6749,3.9531
0.6800,3.946
0.6851,3.9408
0.6901,3.937
0.6952,3.9304
0.7003,3.9237
0.7054,3.9156
0.7105,3.909
0.7156,3.9019
0.7206,3.8919
0.7257,3.8815
0.7308,3.8696
0.7359,3.8563
0.7410,3.8435
0.7461,3.8274
0.7511,3.8098
0.7562,3.7918
0.7613,3.7733
0.7664,3.7543
0.7715,3.733
0.7766,3.7107
0.7816,3.687
0.7867,3.658
0.7918,3.6277
0.7969,3.5954
0.8020,3.5674
0.8054,3.5598
