# CR-2144 printed p.221, PDF page 226, middle panel, C_madot (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-4/-8/-12/-16/-20/-24
# tick fit residual: x 3.4 px, y 1.6 px (1 px = 0.00094 Mach)
# circle 3 (FC3) reads: -2.9355   [model carries: not supplied]
# circle 4 (FC4) reads: -6.383   [model carries: not supplied]
# manual clip applied: Mach - to 0.75
mach,value
0.2953,-3.1122
0.3010,-3.1026
0.3067,-3.091
0.3123,-3.0815
0.3180,-3.0656
0.3237,-3.0529
0.3293,-3.0434
0.3350,-3.0275
0.3407,-3.0212
0.3464,-3.019
0.3520,-3.0064
0.3577,-2.9947
0.3634,-2.9852
0.3690,-2.9735
0.3747,-2.964
0.3804,-2.9566
0.3860,-2.9471
0.3917,-2.9386
0.3974,-2.9344
0.4030,-2.9249
0.4087,-2.9164
0.4144,-2.9164
0.4200,-2.9206
0.4257,-2.9259
0.4314,-2.9238
0.4370,-2.9111
0.4427,-2.9069
0.4484,-2.9069
0.4540,-2.9069
0.4597,-2.9005
0.4654,-2.8878
0.4710,-2.9037
0.4767,-2.9608
0.4824,-3.0698
0.4880,-3.2212
0.4937,-3.3418
0.4994,-3.4592
0.5050,-3.5788
0.5107,-3.7153
0.5164,-3.8603
0.5220,-3.9354
0.5277,-3.9957
0.5334,-4.0296
0.5390,-4.0497
0.5447,-4.0687
0.5504,-4.0836
0.5655,-4.1217
0.5712,-4.1545
0.5768,-4.1735
0.5825,-4.2053
0.5938,-4.2222
0.5995,-4.2666
0.6052,-4.291
0.6108,-4.3132
0.6165,-4.3354
0.6222,-4.3608
0.6278,-4.3915
0.6335,-4.4243
0.6392,-4.4518
0.6448,-4.4814
0.6505,-4.5142
0.6562,-4.5513
0.6618,-4.5872
0.6675,-4.6306
0.6732,-4.6761
0.6788,-4.7185
0.6845,-4.7703
0.6902,-4.8211
0.6958,-4.8719
0.7015,-4.9227
0.7072,-4.9735
0.7128,-5.0243
0.7185,-5.0761
0.7242,-5.1227
0.7298,-5.1893
0.7355,-5.3163
0.7450,-5.3407
0.7497,-5.437
