# CR-2144 printed p.221, PDF page 226, top panel, C_malpha (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.4/-0.8/-1.2/-1.6
# tick fit residual: x 1.5 px, y 0.9 px (1 px = 0.00095 Mach)
# circle 5 (FC5) reads: -1.1421   [model carries: not supplied]
# circle 6 (FC6) reads: -0.97273   [model carries: not supplied]
# circle 7 (FC7) reads: -0.62632   [model carries: not supplied]
# extra trace seed used to pick up a branch carrying no marker
mach,value
0.3107,-1.2959
0.3163,-1.2932
0.3220,-1.2887
0.3277,-1.2849
0.3334,-1.2804
0.3390,-1.2759
0.3447,-1.2718
0.3504,-1.2637
0.3608,-1.2623
0.3665,-1.2545
0.3721,-1.2506
0.3778,-1.2459
0.3835,-1.2413
0.3892,-1.2367
0.3948,-1.23
0.4052,-1.2268
0.4109,-1.2188
0.4166,-1.2144
0.4223,-1.2096
0.4280,-1.2051
0.4336,-1.2011
0.4393,-1.1974
0.4535,-1.1886
0.4592,-1.18
0.4648,-1.1753
0.4705,-1.1695
0.4762,-1.1647
0.4819,-1.1596
0.4875,-1.1545
0.4932,-1.1488
0.4989,-1.1433
0.5046,-1.1382
0.5102,-1.1326
0.5159,-1.127
0.5216,-1.1219
0.5273,-1.1172
0.5330,-1.1133
0.5386,-1.108
0.5443,-1.1026
0.5500,-1.0972
0.5557,-1.0917
0.5613,-1.086
0.5698,-1.0795
0.5755,-1.0711
0.5812,-1.0653
0.5869,-1.0591
0.5925,-1.0528
0.5982,-1.048
0.6105,-1.0363
0.6162,-1.0249
0.6219,-1.0175
0.6275,-1.0094
0.6332,-1.0021
0.6389,-0.99388
0.6446,-0.98553
0.6502,-0.97728
0.6559,-0.96893
0.6616,-0.96057
0.6673,-0.95232
0.6729,-0.94471
0.6786,-0.93562
0.6843,-0.92494
0.6900,-0.91785
0.6957,-0.90368
0.7013,-0.89205
0.7070,-0.88095
0.7127,-0.86932
0.7184,-0.85515
0.7250,-0.84394
0.7307,-0.82427
0.7363,-0.80978
0.7420,-0.79434
0.7477,-0.77523
0.7534,-0.75831
0.7590,-0.73978
0.7647,-0.7255
0.7704,-0.70042
0.7761,-0.67686
0.7817,-0.66237
0.7874,-0.6537
0.7931,-0.64429
0.7988,-0.63488
0.8044,-0.62547
0.8101,-0.61606
0.8158,-0.60675
0.8215,-0.59745
0.8271,-0.58888
0.8328,-0.60675
0.8385,-0.68326
0.8442,-0.71773
0.8498,-0.74011
0.8555,-0.77756
0.8612,-0.81949
0.8669,-0.87822
0.8725,-0.9409
0.8782,-1.0134
0.8839,-1.0479
0.8896,-1.0628
