# CR-2144 printed p.221, PDF page 226, top panel, C_malpha (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.4/-0.8/-1.2/-1.6
# tick fit residual: x 1.5 px, y 0.9 px (1 px = 0.00095 Mach)
# circle 8 (FC8) reads: -1.144   [model carries: not supplied]
# circle 9 (FC9) reads: -1.0241   [model carries: not supplied]
# circle 10 (FC10) reads: -1.6123   [model carries: not supplied]
# manual clip applied: Mach 0.66 to -
mach,value
0.6739,-1.1752
0.6796,-1.1729
0.6852,-1.1669
0.6909,-1.1594
0.6966,-1.1521
0.7023,-1.1446
0.7079,-1.1372
0.7136,-1.13
0.7193,-1.1225
0.7250,-1.1154
0.7307,-1.1072
0.7363,-1.099
0.7420,-1.0887
0.7477,-1.0846
0.7534,-1.074
0.7600,-1.0657
0.7657,-1.0554
0.7713,-1.0466
0.7770,-1.0378
0.7827,-1.0336
0.7884,-1.0308
0.7940,-1.028
0.7997,-1.0253
0.8054,-1.0226
0.8111,-1.0198
0.8167,-1.017
0.8224,-1.0142
0.8281,-1.0123
0.8735,-1.346
0.8792,-1.6132
0.8848,-1.6132
0.8905,-1.6132
0.8962,-1.6132
0.9019,-1.6132
0.9075,-1.6132
0.9132,-1.6132
0.9189,-1.6132
0.9246,-1.6132
0.9302,-1.6132
0.9340,-1.6132
