# CR-2144 printed p.221, PDF page 226, top panel, C_malpha (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.4/-0.8/-1.2/-1.6
# tick fit residual: x 1.5 px, y 0.9 px (1 px = 0.00095 Mach)
# circle 3 (FC3) reads: -0.96322   [model carries: not supplied]
# circle 4 (FC4) reads: -0.59967   [model carries: not supplied]
mach,value
0.2946,-1.2091
0.3002,-1.2052
0.3059,-1.1973
0.3116,-1.1888
0.3173,-1.1801
0.3230,-1.1712
0.3286,-1.1619
0.3343,-1.1524
0.3400,-1.143
0.3457,-1.1336
0.3513,-1.1246
0.3570,-1.115
0.3627,-1.1054
0.3684,-1.0961
0.3740,-1.0868
0.3797,-1.0772
0.3854,-1.0676
0.3911,-1.0578
0.3967,-1.0484
0.4024,-1.0386
0.4081,-1.0293
0.4138,-1.0199
0.4194,-1.0095
0.4251,-0.99991
0.4308,-0.99092
0.4365,-0.98119
0.4421,-0.97115
0.4478,-0.96152
0.4535,-0.95148
0.4592,-0.94143
0.4648,-0.9317
0.4705,-0.9224
0.4762,-0.91182
0.4819,-0.90009
0.4875,-0.89036
0.4932,-0.88063
0.4989,-0.87101
0.5046,-0.86117
0.5102,-0.85197
0.5159,-0.84214
0.5216,-0.83125
0.5273,-0.82088
0.5330,-0.81094
0.5386,-0.801
0.5443,-0.79128
0.5500,-0.78134
0.5557,-0.7714
0.5613,-0.76124
0.5670,-0.75109
0.5727,-0.74136
0.5784,-0.73153
0.5840,-0.72191
0.5897,-0.71186
0.5954,-0.70171
0.6011,-0.69167
0.6067,-0.68162
0.6124,-0.67179
0.6181,-0.66142
0.6238,-0.65074
0.6294,-0.64175
0.6351,-0.63171
0.6408,-0.62145
0.6465,-0.61093
0.6521,-0.60078
0.6578,-0.591
0.6635,-0.58074
0.6692,-0.57059
0.6748,-0.56213
0.6805,-0.5524
0.6862,-0.54183
0.6919,-0.53231
0.6975,-0.52247
0.7032,-0.51497
0.7051,-0.51391
