# CR-2144 printed p.221, PDF page 226, bottom panel, C_mq (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-4/-8/-12/-16/-20/-24
# tick fit residual: x 3.4 px, y 1.6 px (1 px = 0.00094 Mach)
# circle 8 (FC8) reads: -22.82   [model carries: not supplied]
# circle 9 (FC9) reads: -23.868   [model carries: not supplied]
# circle 10 (FC10) reads: -25.049   [model carries: not supplied]
# manual clip applied: Mach 0.65 to -
mach,value
0.6505,-22.649
0.6562,-22.654
0.6618,-22.672
0.6675,-22.687
0.6732,-22.708
0.6788,-22.736
0.6845,-22.763
0.6902,-22.796
0.6958,-22.831
0.7015,-22.865
0.7072,-22.898
0.7128,-22.932
0.7185,-22.964
0.7242,-22.999
0.7298,-23.033
0.7355,-23.064
0.7412,-23.09
0.7468,-23.145
0.7620,-23.254
0.7676,-23.388
0.7733,-23.459
0.7790,-23.538
0.7846,-23.635
0.7903,-23.734
0.7960,-23.832
0.8016,-23.931
0.8073,-24.029
0.8130,-24.127
0.8186,-24.225
0.8243,-24.315
0.8300,-24.42
0.8356,-24.555
0.8413,-24.683
0.8470,-24.823
0.8526,-24.925
0.8583,-25.013
0.8640,-25.119
0.8696,-25.185
0.8753,-25.223
0.8810,-25.17
0.8866,-25.071
0.8923,-24.982
0.8980,-24.893
0.9036,-24.805
0.9093,-24.716
0.9150,-24.636
0.9206,-24.586
0.9263,-24.462
0.9320,-24.253
0.9376,-24.017
0.9433,-23.706
0.9490,-23.468
0.9546,-23.099
0.9603,-22.732
0.9660,-22.243
0.9707,-21.873
