# CR-2144 printed p.222, PDF page 227, middle panel, C_DM vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.3/0.2/0.1/0
# tick fit residual: x 0.6 px, y 0.4 px (1 px = 0.00085 Mach)
# circle 7 (FC7) reads: 0.0094318   [model carries: not supplied]
# manual clip applied: Mach 0.74 to -
mach,value
0.7641,0.0030211
0.7692,0.0041093
0.7743,0.0058471
0.7793,0.006839
0.7844,0.0076888
0.7895,0.0089114
0.7946,0.010094
0.7997,0.011372
0.8048,0.012744
0.8099,0.014021
0.8150,0.01518
0.8201,0.016576
0.8252,0.01906
0.8303,0.023318
0.8354,0.027741
0.8405,0.031124
0.8456,0.035792
0.8506,0.042037
0.8557,0.048206
0.8608,0.056365
0.8659,0.058588
0.8710,0.073894
0.8761,0.089498
0.8804,0.10105
