# CR-2144 printed p.222, PDF page 227, middle panel, C_DM vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.3/0.2/0.1/0
# tick fit residual: x 0.6 px, y 0.4 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: -0.00036162   [model carries: not supplied]
# circle 9 (FC9) reads: 0.026038   [model carries: not supplied]
# circle 10 (FC10) reads: 0.24064   [model carries: not supplied]
# manual clip applied: Mach 0.66 to -
mach,value
0.6690,-0.00014872
0.6741,-0.00014872
0.6792,-0.00014872
0.6843,-0.00014872
0.6894,-0.00014872
0.6945,-0.00014872
0.6996,-0.00014872
0.7047,-0.00014872
0.7097,-0.00014872
0.7148,-0.00014872
0.7199,-0.00014872
0.7250,-0.00014872
0.7301,0.0012943
0.7641,0.0016964
0.7692,0.0041093
0.7743,0.0060964
0.7793,0.0086337
0.7844,0.01155
0.7895,0.013552
0.7946,0.015712
0.7997,0.018362
0.8048,0.020999
0.8099,0.023555
0.8150,0.026067
0.8201,0.028866
0.8252,0.03181
0.8303,0.031124
0.8354,0.027954
0.8405,0.031124
0.8456,0.035792
0.8506,0.042037
0.8557,0.048477
0.8608,0.056402
0.8659,0.068086
0.8710,0.13795
0.8761,0.16518
0.8812,0.20954
0.8863,0.24086
0.8914,0.24086
0.8965,0.24086
0.9016,0.24086
0.9067,0.24086
0.9118,0.24086
0.9169,0.24086
0.9219,0.24086
0.9270,0.24086
0.9304,0.24086
