# CR-2144 printed p.222, PDF page 227, top panel, C_LM vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.1/0/-0.1
# tick fit residual: x 3.0 px, y 0.2 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: -0.0083111   [model carries: not supplied]
# manual clip applied: Mach - to 0.95
# extra trace seed used to pick up a branch carrying no marker
mach,value
0.3507,-0.017048
0.3558,-0.017427
0.3609,-0.017072
0.3660,-0.016457
0.3711,-0.016078
0.3762,-0.015557
0.3813,-0.015107
0.3864,-0.014586
0.3915,-0.014112
0.3966,-0.013757
0.4017,-0.013213
0.4067,-0.012407
0.4118,-0.011934
0.4169,-0.011366
0.4220,-0.010703
0.4271,-0.0098976
0.4322,-0.0093293
0.4373,-0.0088084
0.4424,-0.0083111
0.4475,-0.0077902
0.4526,-0.0072219
0.4577,-0.0066773
0.4628,-0.0061801
0.4678,-0.0057065
0.4729,-0.0055408
0.4780,-0.0055408
0.4831,-0.0053987
0.4882,-0.0051145
0.4933,-0.0051145
0.4984,-0.0051145
0.5035,-0.0051145
0.5086,-0.0050672
0.5137,-0.004783
0.5188,-0.0046883
0.5238,-0.0046883
0.5289,-0.0045463
0.5340,-0.00030782
0.5502,0.0024152
0.5552,0.0079796
0.5603,0.0086426
0.5654,0.009424
0.5705,0.010182
0.5756,0.010821
0.5807,0.011626
0.5858,0.012407
0.5909,0.01307
0.5960,0.013876
0.6011,0.01461
0.6062,0.015249
0.6113,0.015959
0.6163,0.016741
0.6214,0.017569
0.6265,0.018256
0.6316,0.018943
0.6367,0.019748
0.6418,0.020482
0.6469,0.021263
0.6520,0.021997
0.6571,0.022731
0.6622,0.023465
0.6673,0.024223
0.6723,0.024933
0.6774,0.025431
0.6825,0.025786
0.6876,0.026165
0.6927,0.026544
0.6978,0.026946
0.7029,0.027325
0.7080,0.027656
0.7131,0.028012
0.7182,0.02839
0.7233,0.028769
0.7284,0.028982
0.7334,0.028935
0.7385,0.028651
0.7462,0.028248
0.7513,0.027704
0.7564,0.026851
0.7614,0.025857
0.7665,0.024697
0.7716,0.023371
0.7767,0.022234
0.7818,0.020884
0.7869,0.019487
0.7920,0.018114
0.7971,0.016741
0.8022,0.015367
0.8073,0.013947
0.8124,0.012612
0.8175,0.011026
0.8225,0.0098976
0.8276,0.0086663
0.8327,0.0077665
0.8378,0.0070088
0.8514,0.0058722
0.8565,0.0046883
0.8616,0.0042621
0.8667,0.0032676
0.8718,0.00087278
0.8769,-0.0015356
0.8819,-0.0050636
0.8870,-0.011048
0.8921,-0.017705
0.8972,-0.024378
0.9023,-0.031077
0.9074,-0.037769
0.9125,-0.044462
0.9176,-0.051919
0.9227,-0.059019
0.9252,-0.060262
