# CR-2144 printed p.222, PDF page 227, top panel, C_LM vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.1/0/-0.1
# tick fit residual: x 3.0 px, y 0.2 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: 0.027064   [model carries: not supplied]
# circle 10 (FC10) reads: -0.030048   [model carries: not supplied]
# manual clip applied: Mach 0.64 to -
mach,value
0.6401,0.020387
0.6452,0.020979
0.6503,0.021737
0.6554,0.022495
0.6605,0.023229
0.6656,0.023939
0.6706,0.024697
0.6757,0.025312
0.6808,0.025667
0.6859,0.026046
0.6910,0.026378
0.6961,0.026757
0.7012,0.027135
0.7063,0.027538
0.7114,0.027917
0.7165,0.028296
0.7216,0.028675
0.7267,0.028935
0.7317,0.028982
0.7368,0.028817
0.7462,0.028248
0.7513,0.027704
0.7564,0.026851
0.7614,0.025857
0.7665,0.024697
0.7716,0.023371
0.7767,0.022234
0.7818,0.020884
0.7869,0.019487
0.7920,0.018114
0.7971,0.016741
0.8022,0.015367
0.8073,0.013947
0.8124,0.012446
0.8175,0.01086
0.8225,0.0098976
0.8276,0.0086663
0.8327,0.0077665
0.8378,0.0070088
0.8514,0.0058722
0.8565,0.0046883
0.8616,0.0042621
0.8667,0.0032676
0.8718,-0.00051986
0.8769,-0.0059802
0.8819,-0.011064
0.8870,-0.017316
0.8921,-0.023284
0.8972,-0.027213
0.9023,-0.031356
0.9074,-0.037384
0.9125,-0.043531
0.9176,-0.051307
0.9227,-0.058979
0.9252,-0.060262
