# CR-2144 printed p.222, PDF page 227, bottom panel, C_mM vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.4/0.2/0/-0.2/-0.4
# tick fit residual: x 0.7 px, y 1.6 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: 0.039863   [model carries: not supplied]
# circle 4 (FC4) reads: -0.070867   [model carries: not supplied]
mach,value
0.2946,0.21447
0.2997,0.21315
0.3048,0.20785
0.3099,0.20047
0.3150,0.19261
0.3200,0.18608
0.3251,0.17927
0.3302,0.17189
0.3353,0.16517
0.3404,0.15835
0.3455,0.15116
0.3506,0.1451
0.3557,0.13848
0.3608,0.13195
0.3658,0.12551
0.3709,0.11917
0.3760,0.11302
0.3811,0.10725
0.3862,0.10119
0.3913,0.094944
0.3964,0.088981
0.4015,0.083587
0.4066,0.077814
0.4116,0.073176
0.4167,0.067876
0.4218,0.062198
0.4269,0.055952
0.4320,0.050462
0.4371,0.046014
0.4422,0.041661
0.4473,0.037497
0.4524,0.033143
0.4574,0.028317
0.4625,0.023111
0.4676,0.018755
0.4727,0.0162
0.4778,0.012417
0.4829,0.0063125
0.5007,-0.0070791
0.5058,-0.020802
0.5109,-0.022316
0.5160,-0.024114
0.5211,-0.026007
0.5262,-0.028468
0.5312,-0.031875
0.5363,-0.034903
0.5414,-0.037837
0.5465,-0.040487
0.5516,-0.043232
0.5567,-0.045693
0.5618,-0.047964
0.5669,-0.050235
0.5720,-0.052223
0.5770,-0.05421
0.5821,-0.056292
0.5872,-0.057807
0.5923,-0.059037
0.5974,-0.060267
0.6025,-0.061498
0.6076,-0.062633
0.6127,-0.06358
0.6178,-0.064147
0.6228,-0.065567
0.6279,-0.066608
0.6330,-0.066514
0.6381,-0.065378
0.6432,-0.064905
0.6483,-0.064905
0.6534,-0.064905
0.6585,-0.064431
0.6636,-0.063296
0.6686,-0.063201
0.6737,-0.062823
0.6788,-0.061403
0.6839,-0.059889
0.6890,-0.058185
0.6941,-0.056387
0.6992,-0.054305
0.7043,-0.052601
0.7094,-0.045219
0.7331,-0.043516
0.7382,-0.038121
0.7433,-0.042285
0.7484,-0.046923
0.7535,-0.050614
0.7628,-0.059605
0.7679,-0.068501
0.7730,-0.075031
0.7781,-0.081845
0.7831,-0.089795
0.7882,-0.098407
0.7933,-0.10711
0.7984,-0.11563
0.8035,-0.12443
0.8086,-0.13314
0.8137,-0.14081
0.8188,-0.15055
0.8239,-0.1635
0.8290,-0.1831
0.8340,-0.20299
0.8391,-0.22237
0.8442,-0.24821
0.8493,-0.26024
0.8603,-0.2733
0.8654,-0.28002
0.8705,-0.27841
0.8756,-0.27349
0.8807,-0.26677
0.8858,-0.25769
0.8909,-0.24482
0.8960,-0.23469
0.9010,-0.21435
0.9061,-0.19115
0.9112,-0.17044
0.9163,-0.14055
0.9214,-0.10715
0.9265,-0.071841
0.9316,-0.040883
0.9358,-0.033474
