# CR-2144 printed p.223, PDF page 228, top panel, C_Ldelta_e (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.4/0.3/0.2/0.1/0
# tick fit residual: x 1.0 px, y 0.5 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: 0.35999   [model carries: not supplied]
# circle 6 (FC6) reads: 0.33266   [model carries: not supplied]
# circle 7 (FC7) reads: 0.27287   [model carries: not supplied]
mach,value
0.3967,0.37258
0.4018,0.37244
0.4069,0.37194
0.4120,0.37107
0.4255,0.37021
0.4306,0.36893
0.4357,0.36829
0.4408,0.36772
0.4458,0.36663
0.4577,0.36606
0.4628,0.36464
0.4678,0.364
0.4729,0.36326
0.4780,0.36255
0.4831,0.36184
0.4881,0.3611
0.4932,0.36037
0.4983,0.35968
0.5034,0.35894
0.5085,0.35821
0.5135,0.35752
0.5186,0.35686
0.5237,0.35619
0.5288,0.35519
0.5389,0.3542
0.5440,0.35259
0.5491,0.35178
0.5541,0.35088
0.5592,0.35019
0.5711,0.34827
0.5761,0.34668
0.5812,0.34585
0.5863,0.3448
0.5914,0.34376
0.5965,0.34293
0.6015,0.34122
0.6083,0.34087
0.6134,0.33918
0.6185,0.33807
0.6235,0.33679
0.6286,0.33553
0.6337,0.33437
0.6388,0.33308
0.6438,0.3318
0.6489,0.33052
0.6540,0.32924
0.6591,0.32796
0.6642,0.32668
0.6692,0.32533
0.6743,0.32367
0.6794,0.3221
0.6845,0.32058
0.6895,0.31773
0.6997,0.31634
0.7048,0.31316
0.7099,0.31152
0.7149,0.30953
0.7200,0.30749
0.7251,0.30547
0.7302,0.30322
0.7361,0.30151
0.7412,0.29868
0.7462,0.2966
0.7513,0.29444
0.7564,0.29088
0.7640,0.28912
0.7691,0.28495
0.7742,0.28265
0.7792,0.27978
0.7843,0.27693
0.7894,0.27408
0.7945,0.27119
0.7996,0.26832
0.8046,0.26557
0.8097,0.26279
0.8148,0.2602
0.8199,0.25552
0.8249,0.2545
0.8300,0.24965
0.8351,0.24673
0.8402,0.24287
0.8469,0.23965
0.8520,0.23411
0.8571,0.23067
0.8622,0.22678
0.8689,0.22346
0.8740,0.21743
0.8791,0.21387
0.8842,0.20864
0.8893,0.20555
0.8943,0.20104
0.8994,0.19745
0.9045,0.19225
0.9096,0.1873
0.9146,0.18358
0.9197,0.17948
0.9248,0.174
0.9299,0.16908
0.9350,0.16447
0.9400,0.15989
0.9451,0.15447
0.9502,0.15069
0.9544,0.14911
