# CR-2144 printed p.223, PDF page 228, top panel, C_Ldelta_e (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.4/0.3/0.2/0.1/0
# tick fit residual: x 1.0 px, y 0.5 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: 0.40568   [model carries: not supplied]
# circle 10 (FC10) reads: 0.30575   [model carries: not supplied]
# manual clip applied: Mach 0.66 to -
mach,value
0.6608,0.34141
0.6659,0.369
0.6709,0.36796
0.6760,0.36646
0.6811,0.36506
0.6862,0.36379
0.6912,0.38665
0.6963,0.39967
0.7014,0.3686
0.7065,0.35744
0.7115,0.35587
0.7166,0.3542
0.7217,0.3524
0.7268,0.3507
0.7319,0.34992
0.7369,0.32132
0.7420,0.33422
0.7471,0.34286
0.7522,0.34037
0.7572,0.35856
0.7623,0.36691
0.7674,0.33314
0.7725,0.33097
0.7776,0.32845
0.7826,0.32578
0.7877,0.32311
0.7928,0.32046
0.7979,0.31781
0.8029,0.31513
0.8080,0.31254
0.8131,0.31004
0.8182,0.31841
0.8232,0.3306
0.8283,0.30063
0.8334,0.29694
0.8385,0.29963
0.8436,0.319
0.8486,0.29212
0.8537,0.28335
0.8588,0.28041
0.8639,0.27821
0.8689,0.2724
0.8740,0.26792
0.8791,0.27504
0.8842,0.30395
0.8893,0.30578
0.8943,0.30125
0.8994,0.29676
0.9045,0.29247
0.9096,0.28807
0.9146,0.28376
0.9197,0.27933
0.9248,0.27387
0.9299,0.26829
0.9350,0.26277
0.9400,0.25691
0.9451,0.25121
0.9502,0.24694
0.9527,0.24592
