# CR-2144 printed p.223, PDF page 228, top panel, C_Ldelta_e (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.4/0.3/0.2/0.1/0
# tick fit residual: x 1.0 px, y 0.5 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: 0.26305   [model carries: not supplied]
# circle 4 (FC4) reads: 0.18832   [model carries: not supplied]
mach,value
0.2927,0.31857
0.2977,0.31792
0.3028,0.31622
0.3079,0.31446
0.3130,0.31261
0.3180,0.31059
0.3231,0.30881
0.3282,0.30706
0.3333,0.30528
0.3384,0.30348
0.3434,0.30158
0.3485,0.29973
0.3536,0.29793
0.3587,0.29603
0.3637,0.29422
0.3688,0.29226
0.3739,0.29043
0.3790,0.28853
0.3841,0.28666
0.3891,0.28478
0.3942,0.28288
0.3993,0.28103
0.4044,0.27914
0.4094,0.27729
0.4145,0.27522
0.4196,0.27337
0.4247,0.27154
0.4298,0.26965
0.4348,0.2678
0.4399,0.26587
0.4450,0.26396
0.4501,0.26215
0.4551,0.26025
0.4602,0.2584
0.4653,0.25648
0.4704,0.25468
0.4754,0.25266
0.4805,0.25067
0.4856,0.24879
0.4907,0.24694
0.4958,0.245
0.5008,0.2431
0.5059,0.24108
0.5110,0.23916
0.5161,0.23722
0.5211,0.23529
0.5262,0.23344
0.5313,0.23155
0.5364,0.22967
0.5415,0.2278
0.5465,0.22585
0.5516,0.22398
0.5567,0.2221
0.5618,0.22025
0.5668,0.21826
0.5719,0.21634
0.5770,0.21442
0.5821,0.21254
0.5872,0.21062
0.5922,0.20879
0.5973,0.2069
0.6024,0.20497
0.6075,0.20312
0.6125,0.20123
0.6176,0.1993
0.6227,0.19738
0.6278,0.19568
0.6328,0.19387
0.6379,0.1919
0.6430,0.18987
0.6481,0.18793
0.6532,0.18597
0.6582,0.18396
0.6633,0.1822
0.6684,0.18033
0.6735,0.17833
0.6785,0.17646
0.6836,0.17461
0.6887,0.17269
0.6938,0.17081
0.6989,0.16896
0.7039,0.16709
0.7090,0.16519
0.7141,0.16327
0.7192,0.16132
0.7242,0.15938
0.7293,0.15738
0.7344,0.15549
0.7395,0.15385
0.7437,0.15319
