# CR-2144 printed p.223, PDF page 228, bottom panel, C_mdelta_e (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.4/-0.8/-1.2/-1.6
# tick fit residual: x 3.5 px, y 0.9 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: -1.0243   [model carries: not supplied]
# circle 4 (FC4) reads: -0.72259   [model carries: not supplied]
mach,value
0.2978,-1.26
0.3029,-1.2564
0.3080,-1.249
0.3131,-1.2411
0.3182,-1.2336
0.3233,-1.2257
0.3284,-1.2178
0.3335,-1.2102
0.3386,-1.2024
0.3437,-1.1946
0.3488,-1.1871
0.3539,-1.1788
0.3590,-1.1711
0.3641,-1.1637
0.3692,-1.1555
0.3743,-1.1478
0.3794,-1.1401
0.3845,-1.1319
0.3896,-1.1244
0.3947,-1.1165
0.3998,-1.1087
0.4049,-1.1006
0.4100,-1.0928
0.4151,-1.085
0.4202,-1.0772
0.4253,-1.0694
0.4304,-1.061
0.4355,-1.0531
0.4406,-1.0459
0.4457,-1.0381
0.4508,-1.0302
0.4559,-1.0224
0.4610,-1.0145
0.4661,-1.0064
0.4712,-0.99938
0.4763,-0.99209
0.4814,-0.98366
0.4865,-0.97552
0.4916,-0.96766
0.4967,-0.95999
0.5018,-0.95194
0.5069,-0.94408
0.5120,-0.93632
0.5171,-0.92865
0.5222,-0.92107
0.5273,-0.91312
0.5324,-0.90469
0.5375,-0.89683
0.5426,-0.88887
0.5477,-0.88073
0.5528,-0.87287
0.5579,-0.8651
0.5630,-0.85696
0.5681,-0.8491
0.5732,-0.84124
0.5783,-0.83348
0.5834,-0.82552
0.5885,-0.81757
0.5936,-0.80971
0.5987,-0.80194
0.6038,-0.7938
0.6089,-0.78594
0.6140,-0.77846
0.6191,-0.77069
0.6242,-0.76264
0.6293,-0.75393
0.6344,-0.74579
0.6395,-0.73859
0.6446,-0.73063
0.6497,-0.72296
0.6548,-0.71529
0.6599,-0.70706
0.6650,-0.6992
0.6701,-0.69152
0.6752,-0.68385
0.6803,-0.67571
0.6854,-0.66719
0.6905,-0.65904
0.6956,-0.65081
0.7007,-0.64266
0.7058,-0.63537
0.7109,-0.63168
