# CR-2144 printed p.224, PDF page 229, bottom panel, C_lbeta (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.1/-0.2/-0.3
# tick fit residual: x 0.7 px, y 0.4 px (1 px = 0.00089 Mach)
# circle 5 (FC5) reads: -0.19439   [model carries: not supplied]
# circle 6 (FC6) reads: -0.17139   [model carries: not supplied]
# circle 7 (FC7) reads: -0.28141   [model carries: not supplied]
# circle 7 (FC7) reads: -0.16508   [model carries: not supplied]
# manual clip applied: Mach 0.38 to -
mach,value
0.3809,-0.18103
0.3862,-0.18088
0.3915,-0.18081
0.3969,-0.18058
0.4022,-0.18028
0.4075,-0.18001
0.4129,-0.17953
0.4182,-0.17908
0.4236,-0.17865
0.4289,-0.17823
0.4342,-0.18128
0.4396,-0.18504
0.4449,-0.18609
0.4502,-0.18627
0.4556,-0.18569
0.4609,-0.18404
0.4662,-0.18312
0.4716,-0.18472
0.4769,-0.1876
0.4823,-0.1886
0.4876,-0.18908
0.4929,-0.18963
0.4983,-0.19015
0.5036,-0.1907
0.5089,-0.19115
0.5143,-0.19156
0.5196,-0.19203
0.5249,-0.19201
0.5303,-0.19138
0.5409,-0.19103
0.5463,-0.19008
0.5516,-0.18938
0.5570,-0.1885
0.5658,-0.18687
0.5712,-0.18522
0.5765,-0.18417
0.5819,-0.18321
0.5916,-0.18156
0.5970,-0.17988
0.6023,-0.17873
0.6076,-0.17763
0.6156,-0.17645
0.6210,-0.175
0.6263,-0.17435
0.6317,-0.17357
0.6370,-0.17267
0.6423,-0.17177
0.6477,-0.17086
0.6530,-0.16996
0.6583,-0.16906
0.6637,-0.16816
0.6690,-0.16726
0.6743,-0.16643
0.6797,-0.16595
0.6850,-0.16548
0.6903,-0.165
0.6957,-0.16453
0.7010,-0.16403
0.7064,-0.16352
0.7117,-0.16312
0.7170,-0.16265
0.7224,-0.16215
0.7277,-0.16195
0.7330,-0.20127
0.7384,-0.20983
0.7437,-0.1617
0.7490,-0.1616
0.7544,-0.16147
0.7597,-0.18386
0.7651,-0.21756
0.7704,-0.17297
0.7757,-0.16207
0.7811,-0.16215
0.7864,-0.16225
0.7917,-0.16255
0.7971,-0.1626
0.8024,-0.1626
0.8077,-0.1626
0.8131,-0.1629
0.8184,-0.16305
0.8237,-0.16312
0.8291,-0.16342
0.8344,-0.16355
0.8460,-0.1643
0.8513,-0.16485
0.8567,-0.16515
0.8620,-0.16543
0.8673,-0.16565
0.8771,-0.16565
0.8824,-0.16549
0.8878,-0.16653
0.8931,-0.16653
0.8984,-0.16495
0.9038,-0.16295
0.9091,-0.15832
0.9145,-0.15007
0.9162,-0.14816
