# CR-2144 printed p.224, PDF page 229, bottom panel, C_lbeta (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.1/-0.2/-0.3
# tick fit residual: x 0.7 px, y 0.4 px (1 px = 0.00089 Mach)
# circle 8 (FC8) reads: -0.16463   [model carries: not supplied]
# circle 10 (FC10) reads: -0.098343   [model carries: not supplied]
# manual clip applied: Mach 0.65 to -
# extra trace seed used to pick up a branch carrying no marker
mach,value
0.6503,-0.17029
0.6557,-0.16951
0.6610,-0.16861
0.6663,-0.16771
0.6717,-0.16681
0.6770,-0.16615
0.6823,-0.1657
0.6877,-0.1652
0.6930,-0.16475
0.6984,-0.1643
0.7037,-0.16375
0.7090,-0.16327
0.7144,-0.1629
0.7197,-0.16235
0.7250,-0.16202
0.7304,-0.17734
0.7357,-0.22533
0.7410,-0.18583
0.7464,-0.16167
0.7517,-0.16152
0.7570,-0.16147
0.7624,-0.21746
0.7677,-0.20641
0.7731,-0.16192
0.7784,-0.16215
0.7837,-0.16215
0.7891,-0.1624
0.7944,-0.1626
0.7997,-0.1626
0.8051,-0.1626
0.8104,-0.16275
0.8157,-0.16305
0.8211,-0.16305
0.8264,-0.16327
0.8318,-0.1635
0.8371,-0.18301
0.8424,-0.23149
0.8478,-0.18376
0.8531,-0.16495
0.8584,-0.16528
0.8638,-0.16548
0.8691,-0.14276
0.8744,-0.10481
0.8798,-0.12767
0.8851,-0.13182
0.8904,-0.13234
0.8958,-0.13196
0.9011,-0.13103
0.9065,-0.12976
0.9118,-0.1263
0.9171,-0.11055
0.9225,-0.10045
0.9278,-0.098332
0.9296,-0.09731
