# CR-2144 printed p.224, PDF page 229, bottom panel, C_lbeta (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.1/-0.2/-0.3
# tick fit residual: x 0.7 px, y 0.4 px (1 px = 0.00089 Mach)
# circle 3 (FC3) reads: -0.1768   [model carries: not supplied]
# circle 4 (FC4) reads: -0.15245   [model carries: not supplied]
# manual clip applied: Mach - to 0.73
mach,value
0.2991,-0.17602
0.3044,-0.17655
0.3097,-0.1772
0.3151,-0.17788
0.3204,-0.17855
0.3257,-0.17913
0.3311,-0.17966
0.3364,-0.18011
0.3417,-0.18053
0.3471,-0.18083
0.3524,-0.18093
0.3577,-0.18123
0.3631,-0.18131
0.3684,-0.18131
0.3738,-0.18131
0.3791,-0.18116
0.3844,-0.18093
0.3898,-0.18086
0.3951,-0.18068
0.4004,-0.18038
0.4058,-0.18011
0.4111,-0.17968
0.4164,-0.17921
0.4218,-0.1788
0.4271,-0.1783
0.4324,-0.17753
0.4378,-0.17658
0.4431,-0.17572
0.4485,-0.17485
0.4538,-0.17387
0.4591,-0.17294
0.4645,-0.1721
0.4698,-0.17127
0.4751,-0.16999
0.4805,-0.16901
0.4858,-0.16808
0.4911,-0.16713
0.4965,-0.16625
0.5018,-0.16535
0.5072,-0.16455
0.5125,-0.1637
0.5178,-0.16287
0.5232,-0.1621
0.5285,-0.16132
0.5338,-0.16057
0.5392,-0.15987
0.5445,-0.15909
0.5498,-0.15839
0.5552,-0.15774
0.5605,-0.15709
0.5658,-0.15651
0.5712,-0.15588
0.5765,-0.15533
0.5819,-0.15481
0.5872,-0.15418
0.5925,-0.15343
0.5979,-0.15293
0.6032,-0.15248
0.6085,-0.15205
0.6139,-0.15158
0.6192,-0.15112
0.6245,-0.15057
0.6299,-0.1502
0.6352,-0.14995
0.6405,-0.14965
0.6459,-0.1494
0.6512,-0.14912
0.6566,-0.14882
0.6619,-0.14857
0.6672,-0.14827
0.6726,-0.14799
0.6779,-0.14769
0.6832,-0.14754
0.6886,-0.14739
0.6939,-0.14734
0.6992,-0.14729
0.7046,-0.14727
0.7099,-0.14727
0.7135,-0.14727
