# CR-2144 printed p.224, PDF page 229, middle panel, C_nbeta (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.2/0.1/0
# tick fit residual: x 1.4 px, y 1.0 px (1 px = 0.00089 Mach)
# circle 3 (FC3) reads: 0.14027   [model carries: not supplied]
# manual clip applied: Mach - to 0.74
# extra trace seed used to pick up a branch carrying no marker
mach,value
0.2958,0.13937
0.3011,0.13945
0.3065,0.13977
0.3118,0.14002
0.3172,0.14022
0.3225,0.14044
0.3278,0.14067
0.3332,0.14084
0.3385,0.14096
0.3439,0.14111
0.3492,0.14131
0.3545,0.14181
0.3599,0.14208
0.3652,0.14223
0.3705,0.14231
0.3759,0.14246
0.3812,0.1425
0.3866,0.1425
0.3919,0.14263
0.3972,0.14288
0.4026,0.14295
0.4079,0.14295
0.4132,0.14305
0.4186,0.14325
0.4239,0.14345
0.4293,0.1436
0.4346,0.14362
0.4399,0.14362
0.4453,0.14362
0.4506,0.14586
0.4559,0.14511
0.4613,0.14362
0.4666,0.14362
0.4720,0.14362
0.4773,0.1438
0.4826,0.14442
0.4880,0.14509
0.4933,0.14584
0.4987,0.14653
0.5040,0.1472
0.5093,0.1479
0.5147,0.14859
0.5200,0.14934
0.5253,0.14999
0.5307,0.15076
0.5360,0.15153
0.5414,0.15245
0.5476,0.15265
0.5529,0.15354
0.5583,0.15411
0.5636,0.15483
0.5689,0.1556
0.5743,0.15635
0.5796,0.14927
0.5850,0.14976
0.5903,0.15784
0.5956,0.15829
0.6010,0.15886
0.6063,0.15555
0.6116,0.14457
0.6170,0.15486
0.6223,0.16127
0.6277,0.16182
0.6330,0.16234
0.6383,0.16296
0.6437,0.16366
0.6490,0.1643
0.6543,0.165
0.6597,0.16565
0.6650,0.16634
0.6704,0.16699
0.6757,0.16764
0.6810,0.16828
0.6864,0.1691
0.6917,0.16987
0.6970,0.17062
0.7024,0.17141
0.7077,0.17223
0.7131,0.17305
0.7184,0.174
0.7237,0.17464
0.7291,0.17586
0.7344,0.17815
0.7362,0.1785
