# CR-2144 printed p.224, PDF page 229, top panel, C_ybeta (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.4/-0.8/-1.2
# tick fit residual: x 0.7 px, y 0.8 px (1 px = 0.00089 Mach)
# circle 3 (FC3) reads: -0.86278   [model carries: not supplied]
# circle 4 (FC4) reads: -0.82307   [model carries: not supplied]
# circle 4 (FC4) reads: -0.81585   [model carries: not supplied]
# circle 4 (FC4) reads: -0.88264   [model carries: not supplied]
# circle 4 (FC4) reads: -0.88806   [model carries: not supplied]
# manual clip applied: Mach - to 0.73
mach,value
0.2920,-0.85737
0.2974,-0.85767
0.3027,-0.85867
0.3080,-0.85917
0.3134,-0.85938
0.3187,-0.86028
0.3240,-0.86098
0.3294,-0.86098
0.3347,-0.86158
0.3401,-0.86248
0.3454,-0.86278
0.3507,-0.86329
0.3561,-0.86429
0.3614,-0.86459
0.3667,-0.86469
0.3721,-0.86529
0.3774,-0.86609
0.3828,-0.86639
0.3881,-0.86639
0.3934,-0.86649
0.3988,-0.8671
0.4041,-0.8673
0.4094,-0.8673
0.4148,-0.8673
0.4201,-0.8673
0.4255,-0.8673
0.4308,-0.8673
0.4361,-0.8673
0.4415,-0.8673
0.4468,-0.8673
0.4521,-0.8673
0.4575,-0.8673
0.4628,-0.8673
0.4682,-0.8674
0.4735,-0.8691
0.4788,-0.87151
0.4842,-0.87382
0.4895,-0.87953
0.4948,-0.88434
0.5002,-0.88826
0.5055,-0.89207
0.5109,-0.89588
0.5162,-0.89949
0.5215,-0.90209
0.5269,-0.9025
0.5322,-0.9025
0.5375,-0.89768
0.5429,-0.8685
0.5482,-0.85777
0.5536,-0.88625
0.5589,-0.90039
0.5642,-0.89929
0.5696,-0.89838
0.5749,-0.89788
0.5802,-0.89718
0.5856,-0.87582
0.5909,-0.84925
0.5963,-0.86319
0.6016,-0.89257
0.6069,-0.89257
0.6123,-0.89167
0.6176,-0.89016
0.6229,-0.88856
0.6283,-0.88725
0.6336,-0.88585
0.6390,-0.88434
0.6443,-0.88284
0.6496,-0.88124
0.6550,-0.87983
0.6603,-0.87853
0.6656,-0.87702
0.6710,-0.87582
0.6763,-0.87552
0.6817,-0.87702
0.6870,-0.87873
0.6923,-0.88013
0.6977,-0.88154
0.7030,-0.88304
0.7084,-0.88455
0.7137,-0.88605
0.7190,-0.88755
0.7244,-0.88876
0.7297,-0.88896
