# CR-2144 printed p.225, PDF page 230, top panel, C_lp (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.2/-0.4
# tick fit residual: x 0.2 px, y 0.5 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: -0.3174   [model carries: not supplied]
# circle 4 (FC4) reads: -0.33533   [model carries: not supplied]
# circle 4 (FC4) reads: -0.32849   [model carries: not supplied]
# manual clip applied: Mach - to 0.73
mach,value
0.2946,-0.322
0.2997,-0.32171
0.3048,-0.32166
0.3099,-0.32166
0.3150,-0.32171
0.3201,-0.32181
0.3252,-0.32166
0.3303,-0.32176
0.3353,-0.32204
0.3404,-0.32209
0.3455,-0.32204
0.3506,-0.32176
0.3557,-0.32166
0.3608,-0.32166
0.3659,-0.32162
0.3710,-0.32133
0.3761,-0.32105
0.3812,-0.32081
0.3863,-0.32081
0.3914,-0.32081
0.3965,-0.32062
0.4015,-0.32038
0.4066,-0.32019
0.4117,-0.31996
0.4168,-0.31977
0.4219,-0.31953
0.4270,-0.31953
0.4321,-0.31901
0.4372,-0.31868
0.4423,-0.3183
0.4474,-0.31782
0.4525,-0.31754
0.4576,-0.31697
0.4627,-0.31697
0.4677,-0.32323
0.4728,-0.32636
0.4779,-0.32636
0.4830,-0.32636
0.4881,-0.32636
0.4932,-0.32636
0.4983,-0.32589
0.5034,-0.32551
0.5085,-0.32551
0.5136,-0.32551
0.5187,-0.32551
0.5238,-0.32551
0.5289,-0.32546
0.5339,-0.32517
0.5390,-0.32508
0.5450,-0.32489
0.5501,-0.32432
0.5552,-0.32423
0.5603,-0.32423
0.5713,-0.32423
0.5764,-0.32423
0.5815,-0.32399
0.5866,-0.32394
0.5917,-0.32423
0.5968,-0.32423
0.6027,-0.32423
0.6078,-0.32423
0.6129,-0.32427
0.6180,-0.3248
0.6231,-0.32536
0.6282,-0.32551
0.6333,-0.32551
0.6383,-0.32551
0.6434,-0.32551
0.6485,-0.32551
0.6536,-0.32551
0.6587,-0.32551
0.6638,-0.32551
0.6689,-0.32551
0.6740,-0.32551
0.6791,-0.32551
0.6842,-0.32517
0.6893,-0.32465
0.6944,-0.32465
0.6995,-0.32465
0.7045,-0.32451
0.7096,-0.32394
0.7147,-0.32361
0.7198,-0.32337
0.7249,-0.32337
0.7292,-0.32361
