# CR-2144 printed p.225, PDF page 230, bottom panel, C_np (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.04/0/-0.04/-0.08
# tick fit residual: x 1.6 px, y 0.8 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: -0.033393   [model carries: not supplied]
# circle 4 (FC4) reads: 0.003596   [model carries: not supplied]
# manual clip applied: Mach - to 0.74
# extra trace seed used to pick up a branch carrying no marker
mach,value
0.2937,-0.067109
0.2988,-0.067918
0.3039,-0.069535
0.3090,-0.071019
0.3140,-0.07178
0.3191,-0.071847
0.3242,-0.071333
0.3293,-0.070239
0.3344,-0.069012
0.3395,-0.067575
0.3446,-0.06572
0.3497,-0.063874
0.3547,-0.062124
0.3598,-0.060402
0.3649,-0.05867
0.3700,-0.05691
0.3751,-0.055188
0.3802,-0.053523
0.3853,-0.051849
0.3903,-0.050203
0.3954,-0.048633
0.4005,-0.047016
0.4056,-0.045399
0.4107,-0.043829
0.4158,-0.042355
0.4209,-0.039747
0.4260,-0.036609
0.4310,-0.035755
0.4361,-0.034691
0.4412,-0.03364
0.4463,-0.032575
0.4514,-0.0315
0.4565,-0.03031
0.4616,-0.029216
0.4666,-0.028217
0.4717,-0.027076
0.4768,-0.025972
0.4819,-0.024821
0.4870,-0.023679
0.4921,-0.022642
0.4972,-0.021653
0.5022,-0.020654
0.5073,-0.019722
0.5124,-0.018789
0.5175,-0.017905
0.5226,-0.01701
0.5277,-0.016097
0.5328,-0.015155
0.5379,-0.014289
0.5429,-0.013433
0.5480,-0.012529
0.5531,-0.011664
0.5582,-0.010827
0.5633,-0.0099608
0.5684,-0.0091141
0.5735,-0.0082864
0.5785,-0.0074587
0.5836,-0.0066501
0.5887,-0.0058414
0.5938,-0.0050042
0.5989,-0.003815
0.6040,-0.0032157
0.6091,-0.0026734
0.6142,-0.0022037
0.6192,-0.0010133
0.6243,0.0006956
0.6294,0.0014079
0.6345,0.0020263
0.6396,0.0026637
0.6447,0.0033011
0.6498,0.0039433
0.6548,0.004614
0.6599,0.0052609
0.6650,0.0058983
0.6701,0.0065262
0.6752,0.0072493
0.6803,0.008096
0.6854,0.008838
0.6905,0.0095706
0.6955,0.010275
0.7006,0.010988
0.7057,0.01173
0.7108,0.012472
0.7159,0.013186
0.7210,0.01389
0.7261,0.014632
0.7311,0.015307
0.7362,0.015735
0.7379,0.015783
