# CR-2144 printed p.226, PDF page 231, top panel, C_lr (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.3/0.2/0.1/0
# tick fit residual: x 0.9 px, y 0.7 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: 0.28568   [model carries: not supplied]
# circle 9 (FC9) reads: 0.30274   [model carries: not supplied]
# circle 10 (FC10) reads: 0.19649   [model carries: not supplied]
# manual clip applied: Mach 0.66 to -
mach,value
0.6691,0.28376
0.6742,0.28387
0.6793,0.28421
0.6844,0.28456
0.6895,0.28492
0.6946,0.2853
0.6996,0.2857
0.7047,0.2861
0.7098,0.28648
0.7149,0.28686
0.7200,0.28722
0.7251,0.2876
0.7302,0.2884
0.7353,0.2893
0.7403,0.2903
0.7454,0.29125
0.7565,0.29317
0.7615,0.29499
0.7700,0.29743
0.7751,0.29912
0.7802,0.29912
0.7853,0.29912
0.7904,0.29912
0.7955,0.29912
0.8005,0.29888
0.8056,0.29869
0.8107,0.29869
0.8158,0.29869
0.8209,0.29869
0.8260,0.2981
0.8311,0.29559
0.8362,0.29246
0.8412,0.28907
0.8463,0.28501
0.8514,0.28032
0.8565,0.27596
0.8650,0.26752
0.8701,0.25631
0.8752,0.24308
0.8802,0.2329
0.8853,0.22332
0.8904,0.21505
0.8955,0.21111
0.9006,0.20536
0.9057,0.19671
0.9108,0.19671
0.9159,0.19671
0.9209,0.19671
0.9260,0.19671
0.9294,0.19671
