# CR-2144 printed p.226, PDF page 231, top panel, C_lr (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.3/0.2/0.1/0
# tick fit residual: x 0.9 px, y 0.7 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: 0.1167   [model carries: not supplied]
# circle 4 (FC4) reads: 0.053972   [model carries: not supplied]
mach,value
0.2994,0.22987
0.3045,0.22743
0.3096,0.22248
0.3147,0.21686
0.3198,0.21169
0.3249,0.20645
0.3300,0.20133
0.3350,0.19645
0.3401,0.19189
0.3452,0.18739
0.3503,0.18293
0.3554,0.17869
0.3605,0.17445
0.3656,0.17049
0.3707,0.16672
0.3757,0.16293
0.3808,0.15928
0.3859,0.15565
0.3910,0.15219
0.3961,0.14889
0.4012,0.14567
0.4063,0.14249
0.4114,0.13934
0.4164,0.13626
0.4215,0.13313
0.4266,0.1299
0.4317,0.12753
0.4368,0.12502
0.4419,0.12246
0.4470,0.11985
0.4521,0.11726
0.4571,0.11478
0.4622,0.11222
0.4673,0.10966
0.4724,0.10741
0.4775,0.10522
0.4826,0.10257
0.4877,0.10044
0.4928,0.098255
0.4978,0.096193
0.5029,0.094107
0.5080,0.092044
0.5131,0.090029
0.5182,0.088085
0.5233,0.08626
0.5284,0.084482
0.5335,0.082728
0.5385,0.081092
0.5436,0.079433
0.5487,0.077868
0.5538,0.076303
0.5589,0.074739
0.5640,0.073245
0.5691,0.071728
0.5742,0.070329
0.5792,0.068931
0.5843,0.067627
0.5894,0.066371
0.5945,0.065138
0.5996,0.063905
0.6047,0.062649
0.6098,0.061392
0.6149,0.060278
0.6199,0.059188
0.6250,0.058334
0.6301,0.057623
0.6352,0.056698
0.6403,0.05575
0.6454,0.054778
0.6505,0.05383
0.6556,0.052882
0.6606,0.051957
0.6657,0.050962
0.6708,0.050112
0.6759,0.049207
0.6810,0.048378
0.6861,0.047524
0.6912,0.04686
0.6963,0.04641
0.7013,0.045865
0.7064,0.045177
0.7115,0.044656
0.7166,0.044158
0.7217,0.043731
0.7268,0.043376
0.7310,0.043162
