# CR-2144 printed p.226, PDF page 231, bottom panel, C_nr (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.1/-0.2/-0.3/-0.4
# tick fit residual: x 0.7 px, y 0.4 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: -0.31893   [model carries: not supplied]
# circle 9 (FC9) reads: -0.32529   [model carries: not supplied]
# circle 10 (FC10) reads: -0.32868   [model carries: not supplied]
# manual clip applied: Mach 0.66 to -
mach,value
0.6734,-0.31871
0.6785,-0.31871
0.6836,-0.31871
0.6887,-0.31895
0.6938,-0.31914
0.6989,-0.31914
0.7039,-0.31914
0.7090,-0.31928
0.7141,-0.31956
0.7192,-0.31956
0.7243,-0.31945
0.7294,-0.31954
0.7345,-0.31975
0.7396,-0.31987
0.7447,-0.32027
0.7498,-0.32076
0.7574,-0.32107
0.7625,-0.32133
0.7676,-0.32166
0.7727,-0.32201
0.7777,-0.32246
0.7828,-0.32291
0.7879,-0.32333
0.7930,-0.3238
0.7981,-0.32425
0.8032,-0.32472
0.8083,-0.32517
0.8134,-0.32564
0.8185,-0.32609
0.8236,-0.32654
0.8286,-0.32694
0.8337,-0.32741
0.8388,-0.32828
0.8490,-0.32871
0.8541,-0.32958
0.8592,-0.3297
0.8677,-0.32965
0.8728,-0.32944
0.8779,-0.32908
0.8829,-0.32861
0.8880,-0.32809
0.8931,-0.32753
0.8982,-0.32699
0.9033,-0.32649
0.9084,-0.32597
0.9135,-0.32541
0.9186,-0.32486
0.9237,-0.32437
0.9288,-0.32385
0.9338,-0.32298
0.9389,-0.32208
0.9440,-0.32119
0.9491,-0.32036
0.9542,-0.31947
0.9593,-0.3186
0.9635,-0.31831
