# CR-2144 printed p.227, PDF page 232, top panel, C_ldelta_a (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.016/0.012/0.008/0.004/0
# tick fit residual: x 0.5 px, y 0.5 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: 0.012909   [model carries: not supplied]
# manual clip applied: Mach 0.38 to -
# extra trace seed used to pick up a branch carrying no marker
mach,value
0.3806,0.013617
0.3857,0.013614
0.3908,0.013592
0.3959,0.013555
0.4010,0.013515
0.4061,0.013475
0.4112,0.013431
0.4163,0.013381
0.4214,0.01332
0.4264,0.013259
0.4315,0.013198
0.4366,0.013134
0.4417,0.01307
0.4468,0.013007
0.4519,0.012942
0.4570,0.012878
0.4621,0.012815
0.4672,0.012709
0.4723,0.012665
0.4774,0.012674
0.4825,0.012721
0.4876,0.012773
0.4927,0.012811
0.4978,0.012851
0.5029,0.012887
0.5080,0.012923
0.5131,0.012963
0.5181,0.012997
0.5232,0.01301
0.5283,0.013002
0.5334,0.012988
0.5385,0.012972
0.5436,0.012934
0.5538,0.012913
0.5589,0.012867
0.5640,0.012839
0.5691,0.012809
0.5742,0.012789
0.5861,0.012728
0.5912,0.012672
0.5963,0.012644
0.6014,0.012614
0.6065,0.012564
0.6124,0.012554
0.6175,0.012508
0.6226,0.012485
0.6277,0.012459
0.6328,0.012431
0.6379,0.012404
0.6430,0.012375
0.6481,0.012348
0.6532,0.01232
0.6582,0.012291
0.6633,0.01227
0.6684,0.012245
0.6735,0.012216
0.6786,0.012197
0.6837,0.012179
0.6888,0.012159
0.6939,0.012139
0.6990,0.012119
0.7041,0.012098
0.7092,0.012077
0.7143,0.012051
0.7194,0.012037
0.7245,0.012026
0.7296,0.012021
0.7372,0.012013
0.7423,0.012
0.7474,0.011999
0.7525,0.011997
0.7576,0.011997
0.7627,0.011997
0.7678,0.011997
0.7729,0.011992
0.7780,0.011975
0.7831,0.011955
0.7882,0.011935
0.7932,0.011914
0.7983,0.011895
0.8034,0.011876
0.8085,0.011855
0.8136,0.011836
0.8187,0.011816
0.8238,0.011791
0.8289,0.011749
0.8366,0.011641
0.8416,0.011536
0.8467,0.011462
0.8518,0.01136
0.8569,0.011272
0.8646,0.011089
0.8697,0.01091
0.8748,0.010776
0.8799,0.010637
0.8866,0.01044
0.8917,0.010165
0.8968,0.0099973
0.9045,0.0097587
0.9096,0.0094306
0.9147,0.0092554
0.9206,0.0089914
0.9257,0.0086258
0.9325,0.0082531
0.9376,0.0078993
0.9427,0.0076198
0.9478,0.0071959
0.9529,0.0067815
0.9563,0.0066048
