# CR-2144 printed p.227, PDF page 232, bottom panel, C_ndelta_a (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.004/0/-0.004
# tick fit residual: x 2.3 px, y 0.6 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: 0.0014761   [model carries: not supplied]
# manual clip applied: Mach 0.37 to -
# extra trace seed used to pick up a branch carrying no marker
mach,value
0.3729,0.00018156
0.3780,0.00021182
0.3831,0.00026005
0.3882,0.00033002
0.3933,0.00039811
0.3984,0.00051631
0.4052,0.00054279
0.4103,0.0006695
0.4154,0.00073286
0.4204,0.00080189
0.4255,0.00086997
0.4306,0.0009617
0.4383,0.0010043
0.4433,0.0010998
0.4484,0.0011508
0.4535,0.0012142
0.4586,0.001269
0.4637,0.0012775
0.4713,0.0012066
0.4764,0.0011537
0.4815,0.0012142
0.4866,0.0012908
0.4917,0.0013674
0.4968,0.001443
0.5019,0.0015196
0.5070,0.0015972
0.5121,0.0016738
0.5171,0.0017494
0.5222,0.001809
0.5273,0.0018534
0.5324,0.0018865
0.5375,0.0019149
0.5426,0.0019489
0.5562,0.0019934
0.5613,0.0020416
0.5663,0.0020652
0.5714,0.0020804
0.5765,0.0020946
0.5816,0.0021068
0.5935,0.0021182
0.5986,0.0021343
0.6037,0.0021456
0.6088,0.0021485
0.6138,0.0021466
0.6189,0.0021409
0.6240,0.002209
0.6291,0.0023385
0.6342,0.0023016
0.6393,0.0022515
0.6444,0.0022061
0.6495,0.002157
0.6546,0.0021097
0.6596,0.0020633
0.6647,0.0020029
0.6698,0.0019555
0.6749,0.0019111
0.6800,0.0017928
0.6851,0.001675
0.6902,0.0015416
0.6953,0.001322
0.7004,0.0010603
0.7055,0.00079941
0.7105,0.00053839
0.7156,0.00027731
0.7207,-1.791e-05
0.7258,-0.00016715
0.7309,0.00050591
0.7360,0.00072813
0.7462,0.00068274
0.7513,0.00064586
0.7563,0.00062033
0.7614,0.00058818
0.7665,0.00055224
0.7716,0.00050969
0.7767,0.00047848
0.7818,0.00045579
0.7869,0.00049645
0.7920,0.00061749
0.7971,0.00070354
0.8022,0.00078014
0.8072,0.00085673
0.8123,0.00093617
0.8174,0.0010061
0.8225,0.00106
0.8259,0.0010742
