# CR-2144 printed p.227, PDF page 232, bottom panel, C_ndelta_a (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.004/0/-0.004
# tick fit residual: x 2.3 px, y 0.6 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: 0.003008   [model carries: not supplied]
# circle 4 (FC4) reads: 0.0022591   [model carries: not supplied]
# circle 4 (FC4) reads: 0.00076123   [model carries: not supplied]
# manual clip applied: Mach - to 0.72
mach,value
0.2924,0.0011508
0.2974,0.0012189
0.3025,0.0013664
0.3076,0.0015215
0.3127,0.0016681
0.3178,0.0018014
0.3229,0.0019177
0.3280,0.0020284
0.3331,0.0021248
0.3382,0.0022156
0.3433,0.0022998
0.3483,0.0023754
0.3534,0.0024473
0.3585,0.0025144
0.3636,0.0025759
0.3687,0.0026326
0.3738,0.0026808
0.3789,0.002731
0.3840,0.0027773
0.3891,0.002817
0.3941,0.0028501
0.3992,0.0028841
0.4043,0.0029125
0.4094,0.0029362
0.4145,0.0029579
0.4196,0.0029759
0.4247,0.0029844
0.4298,0.0029957
0.4349,0.0029995
0.4400,0.0030109
0.4450,0.0030165
0.4501,0.0030269
0.4552,0.0030336
0.4603,0.0030421
0.4654,0.0030506
0.4705,0.0030581
0.4756,0.0030676
0.4807,0.0030676
0.4858,0.0030638
0.4908,0.0030591
0.4959,0.0030506
0.5010,0.0030392
0.5061,0.0030288
0.5112,0.0030156
0.5163,0.0030005
0.5214,0.0029853
0.5265,0.0029683
0.5316,0.0029494
0.5367,0.0029295
0.5417,0.0029059
0.5468,0.0028813
0.5519,0.0028567
0.5570,0.0028302
0.5621,0.0028019
0.5672,0.0027726
0.5723,0.0027423
0.5774,0.0027139
0.5825,0.0026846
0.5875,0.0026515
0.5926,0.0026165
0.5977,0.0025825
0.6028,0.0025513
0.6079,0.0025154
0.6130,0.0024813
0.6181,0.0024397
0.6232,0.0023962
0.6283,0.0023555
0.6334,0.0023102
0.6384,0.0022591
0.6435,0.0022137
0.6486,0.0021655
0.6537,0.0021172
0.6588,0.0020719
0.6639,0.0020133
0.6690,0.0019593
0.6741,0.0019243
0.6792,0.0018153
0.6842,0.0016942
0.6893,0.0015682
0.6944,0.0013654
0.6995,0.0011041
0.7046,0.00084302
0.7097,0.0005819
0.7148,0.00032082
0.7199,0.00010813
