# CR-2144 printed p.228, PDF page 233, bottom panel, C_ldelta_r (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.02/0
# tick fit residual: x 1.9 px, y 0.0 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: 0.0026355   [model carries: not supplied]
# circle 10 (FC10) reads: 0.005271   [model carries: not supplied]
# manual clip applied: Mach 0.65 to -
mach,value
0.6500,0.0096588
0.6551,0.0097154
0.6602,0.0097816
0.6653,0.0093187
0.6704,0.0063195
0.6755,0.0054009
0.6806,0.0055685
0.6857,0.0056772
0.6908,0.0031787
0.6959,0.0021207
0.7010,0.0049829
0.7060,0.0064045
0.7111,0.006558
0.7162,0.0066832
0.7213,0.0050868
0.7264,0.0045956
0.7315,0.0068131
0.7366,0.0073775
0.7417,0.0074294
0.7468,0.0070469
0.7527,0.0059936
0.7578,0.0067375
0.7629,0.007727
0.7680,0.0077719
0.7731,0.0078026
0.7782,0.0078097
0.7833,0.0075452
0.7884,0.0071602
0.7934,0.0069524
0.7985,0.0068438
0.8036,0.006806
0.8087,0.0068957
0.8138,0.007198
0.8189,0.0074389
0.8240,0.0073728
0.8291,0.0073114
0.8342,0.0070658
0.8393,0.0068768
0.8444,0.0067068
0.8494,0.0065557
0.8545,0.0063526
0.8596,0.0063101
0.8647,0.0063006
0.8698,0.0061542
0.8749,0.0059511
0.8800,0.005715
0.8851,0.0054599
0.8902,0.0052049
0.8953,0.0049687
0.9003,0.0047042
0.9054,0.0044397
0.9105,0.0041847
0.9156,0.0039391
0.9207,0.003651
0.9258,0.0033203
0.9309,0.0030181
0.9360,0.0029047
