# CR-2144 printed p.228, PDF page 233, bottom panel, C_ldelta_r (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.02/0
# tick fit residual: x 1.9 px, y 0.0 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: 0.010882   [model carries: not supplied]
# circle 4 (FC4) reads: 0.0094368   [model carries: not supplied]
# circle 4 (FC4) reads: 0.0088417   [model carries: not supplied]
# manual clip applied: Mach - to 0.73
mach,value
0.2945,0.00071791
0.2996,0.0010769
0.3047,0.0015964
0.3098,0.0023427
0.3149,0.0030653
0.3200,0.0037218
0.3251,0.0043264
0.3302,0.0048695
0.3353,0.0053607
0.3404,0.0058283
0.3454,0.0062865
0.3505,0.0066974
0.3556,0.0070847
0.3607,0.0074436
0.3658,0.007779
0.3709,0.0080907
0.3760,0.0083882
0.3811,0.0086575
0.3862,0.008922
0.3913,0.0091676
0.3964,0.0093943
0.4014,0.0096351
0.4065,0.0098288
0.4116,0.010018
0.4167,0.010188
0.4218,0.010329
0.4269,0.010433
0.4320,0.010514
0.4371,0.010613
0.4422,0.010726
0.4473,0.01083
0.4524,0.010934
0.4574,0.011047
0.4625,0.011147
0.4676,0.01126
0.4727,0.011369
0.4778,0.011468
0.4829,0.011539
0.4880,0.0116
0.4931,0.011605
0.4982,0.011624
0.5033,0.011671
0.5084,0.01169
0.5134,0.01169
0.5185,0.01169
0.5236,0.01169
0.5287,0.011671
0.5338,0.011638
0.5389,0.011609
0.5440,0.011605
0.5491,0.011553
0.5542,0.011496
0.5593,0.011444
0.5644,0.011373
0.5694,0.011307
0.5745,0.011232
0.5796,0.011151
0.5847,0.011062
0.5898,0.010962
0.5949,0.010854
0.6000,0.010764
0.6051,0.010651
0.6102,0.010566
0.6153,0.010433
0.6204,0.010079
0.6254,0.0095454
0.6305,0.0094179
0.6356,0.0094793
0.6407,0.009536
0.6458,0.0096021
0.6509,0.0096682
0.6560,0.0097296
0.6611,0.009791
0.6662,0.0098524
0.6713,0.0099374
0.6764,0.0099894
0.6814,0.010055
0.6865,0.010093
0.7001,0.010112
0.7052,0.010117
0.7103,0.010107
0.7154,0.010079
0.7205,0.010055
0.7290,0.010051
0.7298,0.010046
