# CR-2144 printed p.228, PDF page 233, middle panel, C_ndelta_r (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.04/-0.08/-0.12
# tick fit residual: x 2.0 px, y 1.3 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: -0.095856   [model carries: not supplied]
# circle 4 (FC4) reads: -0.071534   [model carries: not supplied]
# manual clip applied: Mach - to 0.73
# extra trace seed used to pick up a branch carrying no marker
mach,value
0.2825,-0.10521
0.2876,-0.10516
0.2926,-0.10491
0.2977,-0.10471
0.3028,-0.10447
0.3079,-0.10424
0.3129,-0.10401
0.3180,-0.10378
0.3231,-0.10356
0.3282,-0.10335
0.3332,-0.10307
0.3383,-0.10278
0.3434,-0.10254
0.3485,-0.10223
0.3535,-0.10197
0.3586,-0.1017
0.3637,-0.10145
0.3688,-0.10116
0.3738,-0.10078
0.3789,-0.10051
0.3840,-0.10023
0.3891,-0.099938
0.3941,-0.099617
0.3992,-0.099305
0.4043,-0.098936
0.4094,-0.098615
0.4144,-0.098303
0.4195,-0.097916
0.4246,-0.097576
0.4297,-0.097188
0.4347,-0.096782
0.4398,-0.096366
0.4449,-0.095946
0.4500,-0.095549
0.4550,-0.095109
0.4601,-0.094703
0.4652,-0.094287
0.4703,-0.093881
0.4753,-0.093493
0.4804,-0.093021
0.4855,-0.09252
0.4906,-0.092048
0.4956,-0.091528
0.5007,-0.090971
0.5058,-0.090479
0.5109,-0.089969
0.5159,-0.089411
0.5210,-0.088845
0.5261,-0.088249
0.5312,-0.087616
0.5362,-0.086983
0.5413,-0.086359
0.5464,-0.085679
0.5515,-0.085084
0.5565,-0.08446
0.5616,-0.083799
0.5667,-0.083128
0.5718,-0.082523
0.5768,-0.081871
0.5819,-0.081191
0.5870,-0.080539
0.5921,-0.079858
0.5971,-0.07915
0.6022,-0.078422
0.6073,-0.077751
0.6124,-0.077052
0.6174,-0.076315
0.6225,-0.075587
0.6276,-0.074983
0.6327,-0.074312
0.6377,-0.073632
0.6428,-0.072951
0.6479,-0.072195
0.6530,-0.071534
0.6580,-0.070853
0.6631,-0.070173
0.6682,-0.069512
0.6733,-0.06886
0.6783,-0.068019
0.6834,-0.06732
0.6885,-0.066592
0.6936,-0.065949
0.6987,-0.065619
0.6995,-0.0656
