# CR-2144 printed p.228, PDF page 233, top panel, C_ydelta_r (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.2/0.1/0
# tick fit residual: x 1.0 px, y 1.0 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: 0.14515   [model carries: not supplied]
# manual clip applied: Mach 0.4 to -
mach,value
0.4595,0.1506
0.4646,0.15015
0.4697,0.1492
0.4748,0.1484
0.4799,0.14764
0.4850,0.14676
0.4901,0.14586
0.4951,0.14506
0.5002,0.14416
0.5053,0.14331
0.5104,0.14241
0.5155,0.14153
0.5206,0.14073
0.5257,0.13988
0.5308,0.13881
0.5375,0.13786
0.5426,0.13675
0.5477,0.13607
0.5528,0.13524
0.5579,0.13429
0.5697,0.13301
0.5748,0.13148
0.5799,0.13065
0.5850,0.12977
0.5901,0.1289
0.5952,0.12769
0.6070,0.12662
0.6121,0.12504
0.6172,0.12426
0.6223,0.12333
0.6274,0.12213
0.6418,0.11929
0.6469,0.11563
0.6520,0.11825
0.6571,0.12394
0.6621,0.12971
0.6672,0.13679
0.6723,0.14312
0.6774,0.14343
0.6825,0.14276
0.6876,0.14201
0.6927,0.14127
0.6977,0.14056
0.7028,0.13983
0.7079,0.1391
0.7130,0.13839
0.7181,0.13765
0.7232,0.1368
0.7283,0.13571
0.7333,0.13458
0.7384,0.13365
0.7461,0.13188
0.7511,0.13034
0.7562,0.12937
0.7613,0.12712
0.7664,0.12662
0.7715,0.12433
0.7766,0.12288
0.7817,0.1213
0.7868,0.11955
0.7918,0.11765
0.7969,0.11581
0.8020,0.11394
0.8071,0.11209
0.8122,0.11027
0.8173,0.10852
0.8224,0.10648
0.8274,0.10398
0.8325,0.10161
0.8376,0.09929
0.8427,0.096947
0.8478,0.094368
0.8529,0.091977
0.8580,0.089256
0.8630,0.086747
0.8681,0.084073
0.8732,0.081801
0.8783,0.078796
0.8834,0.075317
0.8885,0.071767
0.8936,0.068194
0.8986,0.064644
0.9037,0.061094
0.9088,0.05752
0.9139,0.053947
0.9190,0.050444
0.9241,0.04706
0.9292,0.043132
0.9342,0.038896
0.9393,0.035559
0.9444,0.031275
0.9495,0.028151
0.9504,0.028033
