# CR-2144 printed p.228, PDF page 233, top panel, C_ydelta_r (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.2/0.1/0
# tick fit residual: x 1.0 px, y 1.0 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: 0.13663   [model carries: not supplied]
# circle 4 (FC4) reads: 0.085517   [model carries: not supplied]
# circle 4 (FC4) reads: 0.12002   [model carries: not supplied]
# circle 4 (FC4) reads: 0.088073   [model carries: not supplied]
# circle 4 (FC4) reads: 0.11576   [model carries: not supplied]
# manual clip applied: Mach - to 0.73
mach,value
0.3078,0.16603
0.3129,0.16579
0.3180,0.16482
0.3231,0.16371
0.3282,0.16276
0.3332,0.16167
0.3383,0.16065
0.3434,0.15947
0.3485,0.15824
0.3536,0.15727
0.3587,0.15616
0.3638,0.15509
0.3688,0.15412
0.3739,0.15306
0.3790,0.15197
0.3841,0.15081
0.3892,0.14967
0.3943,0.14861
0.3994,0.14764
0.4044,0.14648
0.4095,0.14522
0.4146,0.14414
0.4197,0.14288
0.4248,0.14189
0.4299,0.14089
0.4350,0.13976
0.4401,0.13862
0.4451,0.13749
0.4502,0.13635
0.4553,0.13521
0.4604,0.13408
0.4655,0.13294
0.4706,0.13185
0.4757,0.13093
0.4807,0.1297
0.4858,0.12852
0.4909,0.12729
0.4960,0.12608
0.5011,0.12492
0.5062,0.12378
0.5113,0.1226
0.5163,0.12137
0.5214,0.12026
0.5265,0.11924
0.5316,0.11806
0.5367,0.11692
0.5418,0.11588
0.5469,0.11477
0.5519,0.11361
0.5570,0.11228
0.5621,0.11105
0.5672,0.10992
0.5723,0.10864
0.5774,0.10748
0.5825,0.10618
0.5875,0.10492
0.5926,0.10372
0.5977,0.10239
0.6028,0.10111
0.6079,0.099905
0.6130,0.098698
0.6181,0.09742
0.6231,0.096687
0.6282,0.10047
0.6333,0.10733
0.6384,0.11322
0.6435,0.11843
0.6486,0.12002
0.6537,0.12125
0.6588,0.12606
0.6638,0.13173
0.6689,0.13927
0.6740,0.14347
0.6791,0.14324
0.6842,0.1425
0.6893,0.14179
0.6944,0.14106
0.6994,0.1403
0.7045,0.13957
0.7096,0.13888
0.7147,0.13815
0.7198,0.13744
0.7249,0.13649
0.7300,0.13557
