page,panel,curve,status,n,mach_min,mach_max,file
218,alpha0,SL,ok,82,0.29,0.701,p218_alpha0_SL.csv
218,alpha0,20000ft,ok,76,0.39,0.8,p218_alpha0_20000ft.csv
218,alpha0,40000ft,ok,54,0.66,0.926,p218_alpha0_40000ft.csv
218,delta_s,SL,ok,77,0.299,0.69,p218_delta_s_SL.csv
218,delta_s,20000ft,ok,83,0.4,0.88,p218_delta_s_20000ft.csv
218,delta_s,40000ft,ok,55,0.651,0.93,p218_delta_s_40000ft.csv
219,CL,SL,ok,102,0.217,0.811,p219_CL_SL.csv
219,CL,20000ft,ok,113,0.302,0.977,p219_CL_20000ft.csv
219,CL,40000ft,ok,93,0.451,0.998,p219_CL_40000ft.csv
219,CD,SL,ok,74,0.295,0.713,p219_CD_SL.csv
219,CD,20000ft,ok,77,0.427,0.882,p219_CD_20000ft.csv
219,CD,40000ft,ok,48,0.632,0.918,p219_CD_40000ft.csv
220,CL_alpha,SL,ok,101,0.299,0.805,p220_CL_alpha_SL.csv
220,CL_alpha,20000ft,ok,96,0.429,0.976,p220_CL_alpha_20000ft.csv
220,CL_alpha,40000ft,ok,69,0.647,0.99,p220_CL_alpha_40000ft.csv
220,CD_alpha,SL,ok,78,0.292,0.681,p220_CD_alpha_SL.csv
220,CD_alpha,20000ft,ok,81,0.409,0.883,p220_CD_alpha_20000ft.csv
220,CD_alpha,40000ft,ok,60,0.672,0.979,p220_CD_alpha_40000ft.csv
221,Cm_alpha,SL,ok,74,0.295,0.705,p221_Cm_alpha_SL.csv
221,Cm_alpha,20000ft,ok,98,0.311,0.89,p221_Cm_alpha_20000ft.csv
221,Cm_alpha,40000ft,ok,40,0.674,0.934,p221_Cm_alpha_40000ft.csv
221,Cm_adot,SL,ok,78,0.295,0.75,p221_Cm_adot_SL.csv
221,Cm_adot,20000ft,ok,86,0.43,0.927,p221_Cm_adot_20000ft.csv
221,Cm_adot,40000ft,ok,49,0.651,0.927,p221_Cm_adot_40000ft.csv
221,Cm_q,SL,ok,81,0.326,0.775,p221_Cm_q_SL.csv
221,Cm_q,20000ft,ok,87,0.447,0.958,p221_Cm_q_20000ft.csv
221,Cm_q,40000ft,ok,56,0.651,0.971,p221_Cm_q_40000ft.csv
222,CL_M,SL,ok,89,0.351,0.8,p222_CL_M_SL.csv
222,CL_M,20000ft,ok,110,0.351,0.925,p222_CL_M_20000ft.csv
222,CL_M,40000ft,ok,55,0.64,0.925,p222_CL_M_40000ft.csv
222,CD_M,SL,not digitised,0,,,
222,CD_M,20000ft,ok,24,0.764,0.88,p222_CD_M_20000ft.csv
222,CD_M,40000ft,ok,47,0.669,0.93,p222_CD_M_40000ft.csv
222,Cm_M,SL,ok,119,0.295,0.936,p222_Cm_M_SL.csv
222,Cm_M,20000ft,ok,97,0.383,0.936,p222_Cm_M_20000ft.csv
222,Cm_M,40000ft,ok,54,0.672,0.959,p222_Cm_M_40000ft.csv
223,CL_de,SL,ok,90,0.293,0.744,p223_CL_de_SL.csv
223,CL_de,20000ft,ok,103,0.397,0.954,p223_CL_de_20000ft.csv
223,CL_de,40000ft,ok,59,0.661,0.953,p223_CL_de_40000ft.csv
223,Cm_de,SL,ok,82,0.298,0.711,p223_Cm_de_SL.csv
223,Cm_de,20000ft,ok,100,0.411,0.963,p223_Cm_de_20000ft.csv
223,Cm_de,40000ft,ok,56,0.679,0.958,p223_Cm_de_40000ft.csv
224,Cy_beta,SL,ok,83,0.292,0.73,p224_Cy_beta_SL.csv
224,Cy_beta,20000ft,ok,108,0.38,0.956,p224_Cy_beta_20000ft.csv
224,Cy_beta,40000ft,ok,58,0.651,0.956,p224_Cy_beta_40000ft.csv
224,Cn_beta,SL,ok,84,0.296,0.736,p224_Cn_beta_SL.csv
224,Cn_beta,20000ft,ok,108,0.38,0.954,p224_Cn_beta_20000ft.csv
224,Cn_beta,40000ft,ok,56,0.651,0.954,p224_Cn_beta_40000ft.csv
224,Cl_beta,SL,ok,79,0.299,0.713,p224_Cl_beta_SL.csv
224,Cl_beta,20000ft,ok,97,0.381,0.916,p224_Cl_beta_20000ft.csv
224,Cl_beta,40000ft,ok,54,0.65,0.93,p224_Cl_beta_40000ft.csv
225,Cl_p,SL,ok,85,0.295,0.729,p225_Cl_p_SL.csv
225,Cl_p,20000ft,ok,114,0.38,0.962,p225_Cl_p_20000ft.csv
225,Cl_p,40000ft,ok,62,0.65,0.962,p225_Cl_p_40000ft.csv
225,Cn_p,SL,ok,89,0.294,0.738,p225_Cn_p_SL.csv
225,Cn_p,20000ft,ok,71,0.39,0.757,p225_Cn_p_20000ft.csv
225,Cn_p,40000ft,ok,53,0.661,0.924,p225_Cn_p_40000ft.csv
226,Cl_r,SL,ok,86,0.299,0.731,p226_Cl_r_SL.csv
226,Cl_r,20000ft,ok,98,0.39,0.907,p226_Cl_r_20000ft.csv
226,Cl_r,40000ft,ok,50,0.669,0.929,p226_Cl_r_40000ft.csv
226,Cn_r,SL,ok,85,0.294,0.721,p226_Cn_r_SL.csv
226,Cn_r,20000ft,ok,100,0.4,0.943,p226_Cn_r_20000ft.csv
226,Cn_r,40000ft,ok,56,0.673,0.964,p226_Cn_r_40000ft.csv
227,Cl_da,SL,ok,89,0.298,0.759,p227_Cl_da_SL.csv
227,Cl_da,20000ft,ok,109,0.381,0.956,p227_Cl_da_20000ft.csv
227,Cl_da,40000ft,ok,63,0.64,0.956,p227_Cl_da_40000ft.csv
227,Cn_da,SL,ok,85,0.292,0.72,p227_Cn_da_SL.csv
227,Cn_da,20000ft,ok,85,0.373,0.826,p227_Cn_da_20000ft.csv
227,Cn_da,40000ft,ok,58,0.64,0.945,p227_Cn_da_40000ft.csv
228,Cy_dr,SL,ok,84,0.308,0.73,p228_Cy_dr_SL.csv
228,Cy_dr,20000ft,ok,93,0.46,0.95,p228_Cy_dr_20000ft.csv
228,Cy_dr,40000ft,ok,60,0.65,0.95,p228_Cy_dr_40000ft.csv
228,Cn_dr,SL,ok,84,0.282,0.699,p228_Cn_dr_SL.csv
228,Cn_dr,20000ft,ok,83,0.391,0.849,p228_Cn_dr_20000ft.csv
228,Cn_dr,40000ft,ok,56,0.67,0.951,p228_Cn_dr_40000ft.csv
228,Cl_dr,SL,ok,85,0.295,0.73,p228_Cl_dr_SL.csv
228,Cl_dr,20000ft,ok,88,0.461,0.936,p228_Cl_dr_20000ft.csv
228,Cl_dr,40000ft,ok,57,0.65,0.936,p228_Cl_dr_40000ft.csv
