quantity,altitude,mach,value,mach_per_px,value_per_px,mach_span,value_span
cd_alpha,SL,0.294740,0.542727,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,SL,0.335490,0.411191,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,SL,0.382482,0.285946,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,SL,0.473226,0.148309,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,SL,0.545140,0.092121,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,SL,0.626821,0.032048,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,SL,0.715121,-0.008409,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,20K,0.403302,1.153467,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,20K,0.440976,0.690767,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,20K,0.499575,0.374947,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,20K,0.607594,0.226014,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,20K,0.741609,0.114489,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,20K,0.876777,0.090067,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,40K,0.699597,1.031609,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,40K,0.710417,0.764378,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,40K,0.724124,0.587667,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,40K,0.742418,0.501815,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,40K,0.777411,0.444661,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,40K,0.811867,0.429968,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,40K,0.837931,0.443876,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,40K,0.863470,0.489886,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,40K,0.901563,0.526551,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,40K,0.936378,0.533147,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_alpha,40K,0.975127,0.521371,3.124176e-03,6.270192e-03,1.000000e+00,1.200000e+00
cd_m,20K,0.763194,0.000587,1.823142e-03,9.165485e-04,1.000000e+00,3.000000e-01
cd_m,20K,0.792735,0.005255,1.823142e-03,9.165485e-04,1.000000e+00,3.000000e-01
