# CR-2144 printed p.218, PDF page 223, top panel, alpha_0 (deg) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 12/10/8/6/4/2/0
# tick fit residual: x 0.6 px, y 1.9 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: 6.7589   [model carries: not supplied]
# circle 6 (FC6) reads: 2.5778   [model carries: not supplied]
# circle 7 (FC7) reads: 0.11028   [model carries: not supplied]
# manual clip applied: Mach - to 0.8
mach,value
0.3904,13.376
0.3955,13.005
0.4006,12.491
0.4057,12.061
0.4108,11.656
0.4159,11.311
0.4226,10.869
0.4277,10.453
0.4328,10.114
0.4379,9.8235
0.4430,9.5605
0.4481,9.1516
0.4531,8.9261
0.4582,8.6769
0.4633,8.3502
0.4684,8.1211
0.4735,7.8984
0.4786,7.5903
0.4837,7.3335
0.4887,7.1177
0.4938,6.9033
0.4989,6.6858
0.5040,6.4948
0.5091,6.3305
0.5142,6.1689
0.5192,6.005
0.5243,5.8457
0.5294,5.6727
0.5345,5.508
0.5396,5.3671
0.5447,5.1634
0.5498,5.0167
0.5548,4.8892
0.5650,4.6245
0.5701,4.4122
0.5752,4.2923
0.5803,4.1628
0.5853,3.9582
0.5921,3.9172
0.5972,3.7173
0.6023,3.6031
0.6074,3.485
0.6125,3.3546
0.6192,3.2556
0.6243,3.0852
0.6294,2.9881
0.6345,2.8948
0.6396,2.792
0.6447,2.6892
0.6498,2.5864
0.6548,2.4816
0.6599,2.3779
0.6650,2.2865
0.6701,2.1961
0.6752,2.0923
0.6803,1.9876
0.6921,1.8457
0.6972,1.6772
0.7023,1.5915
0.7074,1.5011
0.7125,1.4288
0.7235,1.2688
0.7286,1.1317
0.7337,1.0508
0.7387,0.96515
0.7438,0.88042
0.7489,0.81569
0.7591,0.67861
0.7642,0.54628
0.7693,0.46822
0.7743,0.38445
0.7794,0.31305
0.7845,0.2664
0.7896,0.2169
0.7947,0.16549
0.7998,0.1217
