# CR-2144 printed p.218, PDF page 223, top panel, alpha_0 (deg) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 12/10/8/6/4/2/0
# tick fit residual: x 0.6 px, y 1.9 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: 3.1775   [model carries: not supplied]
# circle 4 (FC4) reads: 0.076006   [model carries: not supplied]
mach,value
0.2896,9.1845
0.2947,8.8648
0.2997,8.4878
0.3048,8.2121
0.3099,7.9579
0.3150,7.7036
0.3201,7.4495
0.3252,7.1952
0.3303,6.9415
0.3353,6.6887
0.3404,6.4545
0.3455,6.2362
0.3506,6.023
0.3557,5.8145
0.3608,5.6213
0.3659,5.4347
0.3709,5.2566
0.3760,5.0824
0.3811,4.9101
0.3862,4.7502
0.3913,4.5912
0.3964,4.4341
0.4014,4.2894
0.4065,4.1485
0.4116,4.0058
0.4167,3.8677
0.4218,3.743
0.4269,3.625
0.4320,3.5145
0.4370,3.3993
0.4421,3.2832
0.4472,3.1685
0.4523,3.0519
0.4574,2.9319
0.4625,2.8101
0.4675,2.6996
0.4726,2.5911
0.4777,2.4769
0.4828,2.3693
0.4879,2.277
0.4930,2.1808
0.4981,2.0904
0.5031,2.0009
0.5082,1.9114
0.5133,1.8248
0.5184,1.7382
0.5235,1.6553
0.5286,1.5735
0.5337,1.4935
0.5387,1.4154
0.5438,1.3412
0.5489,1.265
0.5540,1.1889
0.5591,1.1146
0.5642,1.0404
0.5692,0.96705
0.5743,0.89946
0.5794,0.83092
0.5845,0.76619
0.5896,0.70145
0.5947,0.63601
0.5998,0.56122
0.6048,0.50967
0.6099,0.45394
0.6150,0.39016
0.6201,0.32733
0.6252,0.2683
0.6303,0.21404
0.6354,0.15692
0.6404,0.099805
0.6455,0.045543
0.6506,-0.013479
0.6557,-0.075358
0.6608,-0.13438
0.6659,-0.18579
0.6709,-0.24195
0.6760,-0.30098
0.6811,-0.35238
0.6862,-0.39617
0.6913,-0.42283
0.6964,-0.44758
0.7006,-0.46091
