# CR-2144 printed p.218, PDF page 223, bottom panel, delta_s (deg) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 2/0/-2/-4
# tick fit residual: x 0.6 px, y 0.7 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: 0.079987   [model carries: not supplied]
# circle 10 (FC10) reads: 0.079987   [model carries: not supplied]
# manual clip applied: Mach 0.65 to 0.93
mach,value
0.6506,0.74857
0.6557,0.78237
0.6608,0.82369
0.6658,0.86594
0.6709,0.88685
0.6760,0.86796
0.6811,0.82855
0.6861,0.69317
0.6912,0.38094
0.6963,0.41616
0.7014,0.56452
0.7064,0.50442
0.7115,0.43916
0.7166,-0.026122
0.7217,-0.61113
0.7267,0.088439
0.7318,1.0946
0.7369,1.3467
0.7420,1.3693
0.7555,1.4294
0.7606,1.4848
0.7656,1.5054
0.7707,1.5201
0.7758,1.5509
0.7809,1.5746
0.7859,1.5946
0.7910,1.6153
0.7961,1.6341
0.8012,1.6519
0.8062,1.6716
0.8113,1.6923
0.8164,1.712
0.8214,1.7261
0.8265,1.7308
0.8316,1.742
0.8367,1.743
0.8417,1.7364
0.8477,1.7345
0.8527,1.727
0.8578,1.7186
0.8629,1.7026
0.8680,1.5808
0.8730,1.2529
0.8781,0.96231
0.8832,0.68953
0.8883,0.41733
0.8933,0.17201
0.8984,0.079987
0.9035,0.050878
0.9086,-0.14068
0.9136,-0.40958
0.9187,-0.68339
0.9238,-0.95557
0.9288,-1.2688
0.9297,-1.3117
