# CR-2144 printed p.220, PDF page 225, top panel, C_Lalpha (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 6/4/2/0
# tick fit residual: x 0.4 px, y 0.6 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: 5.0026   [model carries: not supplied]
# circle 9 (FC9) reads: 4.883   [model carries: not supplied]
# circle 10 (FC10) reads: 5.5406   [model carries: not supplied]
# manual clip applied: Mach - to 0.93
# extra trace seed used to pick up a branch carrying no marker
mach,value
0.6469,5.1031
0.6520,5.0899
0.6571,5.0808
0.6622,5.0732
0.6673,5.0633
0.6723,5.0519
0.6774,5.0476
0.6825,5.0396
0.6876,5.0305
0.6927,5.0211
0.6978,5.012
0.7028,5.0026
0.7079,4.994
0.7130,4.9845
0.7181,4.975
0.7232,4.9665
0.7283,4.9637
0.7333,4.9599
0.7384,4.9513
0.7435,4.9442
0.7486,4.9376
0.7537,4.929
0.7588,4.9224
0.7638,4.9153
0.7689,4.91
0.7740,4.9043
0.7791,4.8963
0.7842,4.8958
0.7893,4.8991
0.7943,4.9043
0.7994,4.9043
0.8045,4.9043
0.8096,4.9058
0.8147,4.9115
0.8198,4.9129
0.8249,4.9252
0.8299,4.9518
0.8350,4.994
0.8409,5.032
0.8460,5.087
0.8511,5.1506
0.8562,5.2217
0.8613,5.2758
0.8664,5.337
0.8714,5.3987
0.8765,5.4533
0.8816,5.4779
0.8867,5.4926
0.8918,5.5107
0.8969,5.5287
0.9020,5.5467
0.9070,5.5648
0.9121,5.5828
0.9172,5.6003
0.9223,5.5029
0.9274,4.8261
0.9325,4.5014
0.9375,4.4098
0.9426,4.2898
0.9477,4.215
0.9528,4.1064
0.9579,4.0385
0.9630,3.9489
0.9680,3.8696
0.9731,3.8042
0.9782,3.7339
0.9833,3.6661
0.9884,3.6281
0.9901,3.6243
