# CR-2144 printed p.221, PDF page 226, middle panel, C_madot (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-4/-8/-12/-16/-20/-24
# tick fit residual: x 3.4 px, y 1.6 px (1 px = 0.00094 Mach)
# circle 5 (FC5) reads: -3.3164   [model carries: not supplied]
# manual clip applied: Mach 0.43 to -
mach,value
0.4304,-2.9259
0.4361,-2.9132
0.4418,-2.9069
0.4474,-2.9069
0.4531,-2.9069
0.4588,-2.9027
0.4644,-2.89
0.4701,-2.8984
0.4758,-2.9503
0.4814,-3.0466
0.4871,-3.2021
0.4928,-3.3153
0.4984,-3.4296
0.5041,-3.5587
0.5098,-3.6878
0.5154,-3.8381
0.5211,-3.9248
0.5268,-3.9873
0.5324,-4.0264
0.5381,-4.0465
0.5438,-4.0656
0.5494,-4.0804
0.5551,-4.1153
0.5655,-4.1217
0.5712,-4.1545
0.5768,-4.1735
0.5825,-4.2053
0.5938,-4.2222
0.5995,-4.2666
0.6052,-4.291
0.6108,-4.3132
0.6165,-4.3354
0.6222,-4.3608
0.6278,-4.3915
0.6335,-4.4243
0.6392,-4.4518
0.6448,-4.4814
0.6505,-4.5142
0.6562,-4.5513
0.6618,-4.5872
0.6675,-4.6306
0.6732,-4.6761
0.6788,-4.7185
0.6845,-4.7703
0.6902,-4.8211
0.6958,-4.8719
0.7015,-4.9227
0.7072,-4.9735
0.7128,-5.0243
0.7185,-5.0761
0.7242,-5.1227
0.7298,-5.1893
0.7355,-5.3163
0.7450,-5.3407
0.7506,-5.4624
0.7563,-5.5364
0.7620,-5.6211
0.7676,-5.7153
0.7733,-5.8285
0.7790,-5.9301
0.7846,-6.0316
0.7903,-6.1406
0.7960,-6.2528
0.8016,-6.3586
0.8073,-6.4676
0.8130,-6.5755
0.8186,-6.6771
0.8243,-6.7777
0.8328,-6.9829
0.8385,-7.1554
0.8441,-7.2898
0.8498,-7.4655
0.8555,-7.5903
0.8611,-7.7289
0.8668,-7.8739
0.8725,-8.0252
0.8781,-8.1607
0.8838,-8.3078
0.8895,-8.4623
0.8951,-8.6167
0.9008,-8.7712
0.9065,-8.9257
0.9121,-9.0802
0.9178,-9.2284
0.9235,-9.3299
0.9273,-9.3575
