# CR-2144 printed p.221, PDF page 226, middle panel, C_madot (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-4/-8/-12/-16/-20/-24
# tick fit residual: x 3.4 px, y 1.6 px (1 px = 0.00094 Mach)
# circle 8 (FC8) reads: -4.8782   [model carries: not supplied]
# circle 10 (FC10) reads: -8.7067   [model carries: not supplied]
# manual clip applied: Mach 0.65 to -
mach,value
0.6505,-4.5216
0.6562,-4.5513
0.6618,-4.5872
0.6675,-4.6306
0.6732,-4.6761
0.6788,-4.7185
0.6845,-4.7703
0.6902,-4.8211
0.6958,-4.8708
0.7015,-4.9216
0.7072,-4.9735
0.7128,-5.0243
0.7185,-5.0761
0.7242,-5.1227
0.7298,-5.1893
0.7355,-5.3163
0.7450,-5.3407
0.7506,-5.4624
0.7563,-5.5364
0.7620,-5.6211
0.7676,-5.7153
0.7733,-5.8285
0.7790,-5.9301
0.7846,-6.0316
0.7903,-6.1406
0.7960,-6.2528
0.8016,-6.3586
0.8073,-6.4676
0.8130,-6.5755
0.8186,-6.6771
0.8243,-6.7777
0.8328,-6.9829
0.8385,-7.1554
0.8441,-7.2898
0.8498,-7.4655
0.8555,-7.5903
0.8611,-7.7289
0.8668,-7.8739
0.8725,-8.0252
0.8781,-8.1607
0.8838,-8.3078
0.8895,-8.4623
0.8951,-8.6157
0.9008,-8.7702
0.9065,-8.9257
0.9121,-9.0802
0.9178,-9.2284
0.9235,-9.3299
0.9273,-9.3575
