# CR-2144 printed p.221, PDF page 226, bottom panel, C_mq (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-4/-8/-12/-16/-20/-24
# tick fit residual: x 3.4 px, y 1.6 px (1 px = 0.00094 Mach)
# circle 5 (FC5) reads: -20.63   [model carries: not supplied]
# circle 6 (FC6) reads: -20.078   [model carries: not supplied]
# circle 7 (FC7) reads: -20.382   [model carries: not supplied]
mach,value
0.4474,-20.934
0.4531,-20.919
0.4588,-20.883
0.4644,-20.848
0.4701,-20.808
0.4758,-20.771
0.4814,-20.741
0.4871,-20.709
0.4928,-20.678
0.4984,-20.645
0.5041,-20.614
0.5098,-20.582
0.5154,-20.55
0.5211,-20.519
0.5268,-20.486
0.5324,-20.454
0.5381,-20.42
0.5438,-20.385
0.5542,-20.352
0.5598,-20.313
0.5655,-20.287
0.5712,-20.264
0.5768,-20.249
0.5882,-20.208
0.5938,-20.171
0.5995,-20.154
0.6052,-20.136
0.6108,-20.119
0.6165,-20.105
0.6222,-20.099
0.6278,-20.1
0.6335,-20.088
0.6392,-20.077
0.6448,-20.065
0.6505,-20.052
0.6562,-20.042
0.6618,-20.029
0.6675,-20.017
0.6732,-20.006
0.6788,-19.993
0.6845,-19.992
0.6902,-19.992
0.6958,-19.995
0.7100,-20.004
0.7157,-20.011
0.7213,-20.018
0.7270,-20.032
0.7327,-20.05
0.7383,-20.062
0.7450,-20.075
0.7506,-20.091
0.7563,-20.107
0.7620,-20.13
0.7676,-20.16
0.7733,-20.198
0.7790,-20.241
0.7846,-20.295
0.7903,-20.345
0.7960,-20.398
0.8016,-20.45
0.8073,-20.502
0.8130,-20.55
0.8186,-20.597
0.8243,-20.647
0.8300,-20.7
0.8404,-20.733
0.8460,-20.781
0.8517,-20.794
0.8574,-20.797
0.8630,-20.782
0.8687,-20.738
0.8744,-20.627
0.8810,-20.571
0.8866,-20.438
0.8923,-20.358
0.8980,-20.234
0.9055,-20.122
0.9112,-19.916
0.9169,-19.763
0.9225,-19.604
0.9282,-19.334
0.9339,-19.095
0.9395,-18.877
0.9452,-18.491
0.9509,-18.12
0.9565,-17.936
0.9584,-17.918
