# CR-2144 printed p.221, PDF page 226, bottom panel, C_mq (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-4/-8/-12/-16/-20/-24
# tick fit residual: x 3.4 px, y 1.6 px (1 px = 0.00094 Mach)
# circle 3 (FC3) reads: -18.802   [model carries: not supplied]
# circle 4 (FC4) reads: -17.183   [model carries: not supplied]
mach,value
0.3256,-19.912
0.3312,-19.886
0.3369,-19.835
0.3426,-19.779
0.3482,-19.73
0.3539,-19.678
0.3596,-19.63
0.3652,-19.578
0.3709,-19.524
0.3766,-19.474
0.3822,-19.423
0.3879,-19.374
0.3936,-19.322
0.3992,-19.275
0.4049,-19.227
0.4106,-19.174
0.4162,-19.125
0.4219,-19.077
0.4276,-19.026
0.4333,-18.981
0.4389,-18.931
0.4446,-18.882
0.4503,-18.831
0.4559,-18.78
0.4616,-18.73
0.4673,-18.68
0.4729,-18.63
0.4786,-18.585
0.4843,-18.54
0.4899,-18.493
0.4956,-18.447
0.5013,-18.398
0.5069,-18.352
0.5126,-18.305
0.5183,-18.258
0.5239,-18.213
0.5296,-18.164
0.5353,-18.116
0.5409,-18.067
0.5466,-18.02
0.5523,-17.975
0.5579,-17.928
0.5636,-17.882
0.5693,-17.832
0.5749,-17.783
0.5806,-17.736
0.5863,-17.691
0.5919,-17.642
0.5976,-17.595
0.6033,-17.55
0.6089,-17.504
0.6146,-17.46
0.6203,-17.409
0.6259,-17.359
0.6316,-17.319
0.6373,-17.275
0.6429,-17.231
0.6486,-17.188
0.6543,-17.143
0.6599,-17.099
0.6656,-17.059
0.6713,-17.019
0.6769,-16.974
0.6826,-16.925
0.6883,-16.884
0.6940,-16.842
0.6996,-16.798
0.7053,-16.755
0.7110,-16.714
0.7166,-16.675
0.7223,-16.631
0.7280,-16.593
0.7336,-16.552
0.7393,-16.513
0.7450,-16.476
0.7506,-16.437
0.7563,-16.395
0.7620,-16.357
0.7676,-16.322
0.7733,-16.306
0.7752,-16.306
