# CR-2144 printed p.222, PDF page 227, top panel, C_LM vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.1/0/-0.1
# tick fit residual: x 3.0 px, y 0.2 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: -0.0074587   [model carries: not supplied]
# circle 4 (FC4) reads: 0.023655   [model carries: not supplied]
# circle 4 (FC4) reads: 0.018114   [model carries: not supplied]
# manual clip applied: Mach - to 0.8
mach,value
0.3507,-0.017048
0.3558,-0.017427
0.3609,-0.017072
0.3660,-0.016457
0.3711,-0.016078
0.3762,-0.015557
0.3813,-0.015107
0.3864,-0.014586
0.3915,-0.014112
0.3966,-0.013757
0.4017,-0.013213
0.4067,-0.012407
0.4118,-0.011934
0.4169,-0.011366
0.4220,-0.010703
0.4271,-0.0098976
0.4322,-0.0093293
0.4373,-0.0088084
0.4424,-0.0083111
0.4475,-0.0077902
0.4526,-0.0072219
0.4577,-0.0066773
0.4628,-0.0061801
0.4678,-0.0057065
0.4729,-0.0055408
0.4780,-0.0055408
0.4831,-0.0053987
0.4882,-0.0051145
0.4933,-0.0051145
0.4984,-0.0051145
0.5035,-0.0051145
0.5086,-0.0024152
0.5137,0.0032203
0.5188,0.0036228
0.5238,0.0039306
0.5289,0.0043332
0.5340,0.0049014
0.5391,0.0055408
0.5442,0.0062985
0.5493,0.0071509
0.5544,0.0078849
0.5595,0.0085242
0.5646,0.0092819
0.5697,0.010063
0.5748,0.010726
0.5799,0.011484
0.5849,0.012289
0.5900,0.012952
0.5951,0.013757
0.6002,0.014491
0.6053,0.015154
0.6104,0.015841
0.6155,0.016646
0.6206,0.017451
0.6257,0.018161
0.6308,0.018801
0.6359,0.019629
0.6410,0.020387
0.6460,0.021121
0.6511,0.021926
0.6562,0.022637
0.6613,0.023371
0.6664,0.024081
0.6715,0.024815
0.6766,0.025383
0.6817,0.025738
0.6868,0.026117
0.6919,0.026472
0.6970,0.026828
0.7020,0.027207
0.7071,0.027585
0.7122,0.027964
0.7173,0.028343
0.7224,0.028722
0.7275,0.028959
0.7326,0.028959
0.7377,0.028769
0.7462,0.028248
0.7513,0.027704
0.7564,0.026851
0.7614,0.025857
0.7665,0.024697
0.7716,0.023371
0.7767,0.022234
0.7818,0.020884
0.7869,0.019487
0.7920,0.018114
0.7971,0.016835
0.7996,0.016362
