# CR-2144 printed p.222, PDF page 227, bottom panel, C_mM vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.4/0.2/0/-0.2/-0.4
# tick fit residual: x 0.7 px, y 1.6 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: 0.11652   [model carries: not supplied]
# circle 7 (FC7) reads: -0.10834   [model carries: not supplied]
# manual clip applied: Mach 0.36 to -
mach,value
0.3828,0.18277
0.3879,0.18107
0.3930,0.17813
0.3981,0.17558
0.4032,0.17227
0.4125,0.16914
0.4176,0.1645
0.4227,0.16214
0.4278,0.15873
0.4329,0.1557
0.4379,0.15258
0.4430,0.14936
0.4481,0.14529
0.4558,0.14454
0.4608,0.14009
0.4659,0.13706
0.4710,0.13394
0.4761,0.13091
0.4812,0.12788
0.4863,0.12466
0.4914,0.12144
0.4965,0.11813
0.5016,0.11491
0.5066,0.11169
0.5117,0.10848
0.5168,0.10554
0.5219,0.1028
0.5270,0.099392
0.5321,0.096363
0.5372,0.090685
0.5457,0.089549
0.5507,0.083871
0.5558,0.080937
0.5609,0.078381
0.5660,0.075542
0.5711,0.071378
0.5804,0.067782
0.5855,0.062387
0.5906,0.059927
0.5957,0.056519
0.6008,0.051598
0.6161,0.047529
0.6211,0.041377
0.6262,0.038727
0.6313,0.03409
0.6364,0.039389
0.6415,0.049989
0.6466,0.054248
0.6517,0.055005
0.6568,0.052828
0.6619,0.045257
0.6669,0.025667
0.6720,0.012701
0.6771,0.0038992
0.7051,-0.0062274
0.7102,-0.020423
0.7153,-0.021938
0.7204,-0.026954
0.7331,-0.030171
0.7382,-0.038121
0.7433,-0.042285
0.7484,-0.046923
0.7535,-0.050614
0.7628,-0.059605
0.7679,-0.068501
0.7730,-0.075031
0.7781,-0.081845
0.7831,-0.089795
0.7882,-0.098407
0.7933,-0.10697
0.7984,-0.1153
0.8035,-0.12443
0.8086,-0.13314
0.8137,-0.14081
0.8188,-0.15055
0.8239,-0.1635
0.8290,-0.1831
0.8340,-0.20299
0.8391,-0.22237
0.8442,-0.24821
0.8493,-0.26024
0.8603,-0.2733
0.8654,-0.28002
0.8705,-0.27841
0.8756,-0.27349
0.8807,-0.26677
0.8858,-0.25769
0.8909,-0.24482
0.8960,-0.23469
0.9010,-0.21435
0.9061,-0.19115
0.9112,-0.17044
0.9163,-0.14055
0.9214,-0.10715
0.9265,-0.071841
0.9316,-0.040883
0.9358,-0.033474
