# CR-2144 printed p.222, PDF page 227, bottom panel, C_mM vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.4/0.2/0/-0.2/-0.4
# tick fit residual: x 0.7 px, y 1.6 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: 0.27665   [model carries: not supplied]
# circle 9 (FC9) reads: 0.15741   [model carries: not supplied]
# circle 10 (FC10) reads: -0.10834   [model carries: not supplied]
# manual clip applied: Mach 0.66 to -
mach,value
0.6720,0.27239
0.6771,0.27239
0.6822,0.27353
0.6873,0.27438
0.6924,0.27552
0.6975,0.27637
0.7026,0.27751
0.7077,0.27836
0.7128,0.27921
0.7178,0.28034
0.7229,0.28091
0.7280,0.28176
0.7331,0.2829
0.7382,0.28356
0.7433,0.28394
0.7484,0.28318
0.7535,0.28129
0.7586,0.27741
0.7636,0.27107
0.7687,0.25564
0.7738,0.24334
0.7789,0.22846
0.7840,0.20868
0.7891,0.18934
0.7942,0.17085
0.7993,0.15258
0.8044,0.13422
0.8094,0.11588
0.8145,0.097329
0.8196,0.081997
0.8247,0.036693
0.8298,-0.059022
0.8349,-0.093707
0.8400,-0.13365
0.8451,-0.1561
0.8502,-0.17966
0.8552,-0.19428
0.8603,-0.2028
0.8654,-0.20772
0.8705,-0.20081
0.8756,-0.17287
0.8807,-0.14707
0.8858,-0.12623
0.8909,-0.11099
0.8960,-0.10834
0.9010,-0.10096
0.9061,-0.08194
0.9112,-0.06038
0.9163,-0.03049
0.9214,0.0040885
0.9452,0.031629
0.9502,0.072556
0.9553,0.092078
0.9587,0.10289
