# CR-2144 printed p.223, PDF page 228, bottom panel, C_mdelta_e (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.4/-0.8/-1.2/-1.6
# tick fit residual: x 3.5 px, y 0.9 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: -1.4027   [model carries: not supplied]
# circle 6 (FC6) reads: -1.2766   [model carries: not supplied]
# circle 7 (FC7) reads: -1.0413   [model carries: not supplied]
mach,value
0.4109,-1.4607
0.4160,-1.4592
0.4211,-1.4565
0.4262,-1.4537
0.4398,-1.4479
0.4449,-1.4421
0.4500,-1.4392
0.4551,-1.4369
0.4678,-1.4308
0.4729,-1.425
0.4780,-1.4211
0.4831,-1.4168
0.4882,-1.4134
0.4933,-1.4099
0.4984,-1.4062
0.5035,-1.4025
0.5086,-1.3988
0.5137,-1.3952
0.5188,-1.3915
0.5239,-1.388
0.5290,-1.3846
0.5341,-1.3806
0.5392,-1.3766
0.5443,-1.3722
0.5596,-1.3647
0.5647,-1.3563
0.5698,-1.3525
0.5749,-1.3485
0.5800,-1.3446
0.5885,-1.3393
0.5936,-1.333
0.5987,-1.3288
0.6038,-1.325
0.6132,-1.3188
0.6183,-1.3129
0.6234,-1.308
0.6285,-1.3028
0.6336,-1.298
0.6387,-1.2928
0.6438,-1.2878
0.6489,-1.2821
0.6540,-1.2768
0.6591,-1.2712
0.6642,-1.2659
0.6693,-1.2602
0.6744,-1.255
0.6795,-1.2501
0.6846,-1.2458
0.6897,-1.241
0.6948,-1.2349
0.7033,-1.2275
0.7084,-1.2191
0.7135,-1.2133
0.7186,-1.2072
0.7237,-1.1982
0.7296,-1.1939
0.7347,-1.1831
0.7398,-1.1765
0.7449,-1.1696
0.7551,-1.1556
0.7602,-1.143
0.7653,-1.1352
0.7704,-1.1286
0.7755,-1.1156
0.7806,-1.1028
0.7857,-1.0937
0.7908,-1.0826
0.7959,-1.0706
0.8010,-1.0572
0.8061,-1.0453
0.8112,-1.0333
0.8163,-1.0213
0.8214,-1.01
0.8265,-1.0008
0.8316,-0.99029
0.8367,-0.97789
0.8418,-0.96217
0.8469,-0.95156
0.8520,-0.9348
0.8571,-0.92145
0.8622,-0.90864
0.8707,-0.88932
0.8758,-0.86387
0.8809,-0.84834
0.8860,-0.8331
0.8911,-0.81312
0.8962,-0.79455
0.9013,-0.77912
0.9064,-0.76148
0.9124,-0.74605
0.9175,-0.7188
0.9226,-0.70298
0.9277,-0.67962
0.9328,-0.66011
0.9379,-0.64181
0.9430,-0.62322
0.9481,-0.60655
0.9532,-0.57525
0.9583,-0.55923
0.9625,-0.55308
