# CR-2144 printed p.223, PDF page 228, bottom panel, C_mdelta_e (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.4/-0.8/-1.2/-1.6
# tick fit residual: x 3.5 px, y 0.9 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: -1.5749   [model carries: not supplied]
# circle 9 (FC9) reads: -1.4283   [model carries: not supplied]
# circle 10 (FC10) reads: -1.1828   [model carries: not supplied]
# manual clip applied: Mach 0.66 to -
mach,value
0.6795,-1.613
0.6846,-1.6104
0.6897,-1.604
0.6948,-1.5964
0.6999,-1.5885
0.7050,-1.5806
0.7101,-1.573
0.7152,-1.5652
0.7203,-1.5572
0.7254,-1.5495
0.7305,-1.5421
0.7356,-1.5359
0.7407,-1.5264
0.7458,-1.5211
0.7509,-1.5142
0.7560,-1.5072
0.7611,-1.5005
0.7670,-1.4929
0.7721,-1.4834
0.7772,-1.4762
0.7823,-1.4686
0.7874,-1.46
0.7925,-1.4509
0.7976,-1.4418
0.8027,-1.4327
0.8078,-1.4236
0.8129,-1.4145
0.8180,-1.4054
0.8231,-1.3964
0.8282,-1.3875
0.8333,-1.3786
0.8384,-1.3677
0.8435,-1.3571
0.8486,-1.3476
0.8537,-1.3342
0.8588,-1.3217
0.8639,-1.3105
0.8690,-1.2983
0.8741,-1.2838
0.8792,-1.2691
0.8843,-1.2531
0.8894,-1.2353
0.8945,-1.2175
0.8996,-1.1975
0.9047,-1.1771
0.9098,-1.1579
0.9149,-1.1387
0.9200,-1.1198
0.9251,-1.1006
0.9302,-1.0831
0.9353,-1.0559
0.9404,-1.0181
0.9455,-0.9685
0.9506,-0.93538
0.9557,-0.9259
0.9583,-0.92495
