# CR-2144 printed p.224, PDF page 229, middle panel, C_nbeta (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.2/0.1/0
# tick fit residual: x 1.4 px, y 1.0 px (1 px = 0.00089 Mach)
# circle 5 (FC5) reads: 0.14653   [model carries: not supplied]
# circle 6 (FC6) reads: 0.16309   [model carries: not supplied]
# circle 6 (FC6) reads: 0.13893   [model carries: not supplied]
# circle 7 (FC7) reads: 0.19306   [model carries: not supplied]
# circle 7 (FC7) reads: 0.17785   [model carries: not supplied]
# manual clip applied: Mach 0.38 to -
mach,value
0.3803,0.1425
0.3857,0.1425
0.3910,0.1426
0.3963,0.14285
0.4017,0.14295
0.4070,0.14295
0.4124,0.14303
0.4177,0.14323
0.4230,0.1434
0.4284,0.14357
0.4337,0.14362
0.4390,0.14362
0.4444,0.14362
0.4497,0.14362
0.4551,0.14362
0.4604,0.14362
0.4657,0.14362
0.4711,0.14362
0.4764,0.14375
0.4817,0.14429
0.4871,0.14499
0.4924,0.14574
0.4978,0.14641
0.5031,0.1471
0.5084,0.14775
0.5138,0.1485
0.5191,0.14919
0.5245,0.14989
0.5298,0.15063
0.5351,0.15145
0.5405,0.14907
0.5458,0.14698
0.5511,0.15342
0.5565,0.15389
0.5618,0.15459
0.5672,0.15538
0.5725,0.15615
0.5778,0.15217
0.5832,0.14658
0.5885,0.15618
0.5938,0.15809
0.5992,0.15866
0.6045,0.15913
0.6099,0.14825
0.6152,0.15078
0.6205,0.16112
0.6259,0.16167
0.6312,0.16217
0.6366,0.16276
0.6419,0.16341
0.6472,0.16411
0.6526,0.16475
0.6579,0.16545
0.6632,0.16609
0.6686,0.16679
0.6739,0.16744
0.6793,0.16808
0.6846,0.16883
0.6899,0.1696
0.6953,0.17039
0.7006,0.17116
0.7059,0.17196
0.7113,0.17273
0.7166,0.1737
0.7220,0.17447
0.7273,0.17507
0.7326,0.17743
0.7424,0.17991
0.7478,0.18188
0.7531,0.17798
0.7584,0.1817
0.7638,0.18605
0.7691,0.18747
0.7745,0.18886
0.7798,0.19028
0.7851,0.1915
0.7905,0.19284
0.7958,0.19411
0.8011,0.1954
0.8065,0.19687
0.8118,0.19836
0.8172,0.19943
0.8225,0.20079
0.8278,0.20236
0.8332,0.2035
0.8385,0.2039
0.8438,0.20572
0.8492,0.20681
0.8545,0.19458
0.8599,0.2
0.8652,0.20957
0.8705,0.21019
0.8759,0.21041
0.8812,0.20992
0.8865,0.20897
0.8919,0.20795
0.8972,0.20693
0.9026,0.20591
0.9079,0.20492
0.9132,0.204
0.9186,0.20313
0.9239,0.20209
0.9293,0.20084
0.9346,0.1992
0.9399,0.19734
0.9453,0.19542
0.9506,0.19398
0.9542,0.19359
