# CR-2144 printed p.224, PDF page 229, middle panel, C_nbeta (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.2/0.1/0
# tick fit residual: x 1.4 px, y 1.0 px (1 px = 0.00089 Mach)
# circle 8 (FC8) reads: 0.16801   [model carries: not supplied]
# circle 10 (FC10) reads: 0.2047   [model carries: not supplied]
# manual clip applied: Mach 0.65 to -
# extra trace seed used to pick up a branch carrying no marker
mach,value
0.6508,0.16473
0.6561,0.1652
0.6615,0.1659
0.6668,0.16654
0.6721,0.16724
0.6775,0.16783
0.6828,0.16858
0.6882,0.16935
0.6935,0.1701
0.6988,0.17079
0.7042,0.17166
0.7095,0.17248
0.7148,0.17335
0.7202,0.17427
0.7255,0.17484
0.7309,0.17671
0.7362,0.17991
0.7433,0.18029
0.7486,0.18198
0.7575,0.18382
0.7629,0.18583
0.7682,0.18725
0.7736,0.18861
0.7789,0.19003
0.7842,0.1913
0.7896,0.19262
0.7949,0.19396
0.8003,0.1953
0.8056,0.19664
0.8109,0.19813
0.8163,0.19923
0.8216,0.20055
0.8269,0.20211
0.8323,0.2034
0.8376,0.20482
0.8430,0.20544
0.8483,0.20683
0.8599,0.20833
0.8652,0.20957
0.8705,0.21019
0.8759,0.21041
0.8812,0.20992
0.8865,0.20897
0.8919,0.20795
0.8972,0.20691
0.9026,0.20584
0.9079,0.20492
0.9132,0.204
0.9186,0.20313
0.9239,0.20209
0.9293,0.20084
0.9346,0.1992
0.9399,0.19734
0.9453,0.19542
0.9506,0.19398
0.9542,0.19359
