# CR-2144 printed p.224, PDF page 229, top panel, C_ybeta (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.4/-0.8/-1.2
# tick fit residual: x 0.7 px, y 0.8 px (1 px = 0.00089 Mach)
# circle 5 (FC5) reads: -0.9025   [model carries: not supplied]
# manual clip applied: Mach 0.38 to -
# extra trace seed used to pick up a branch carrying no marker
mach,value
0.3801,-0.86639
0.3854,-0.86639
0.3908,-0.86639
0.3961,-0.8668
0.4014,-0.8673
0.4068,-0.8673
0.4121,-0.8673
0.4175,-0.8673
0.4228,-0.8673
0.4281,-0.8673
0.4335,-0.8673
0.4388,-0.8673
0.4441,-0.8673
0.4495,-0.8673
0.4548,-0.8673
0.4602,-0.8673
0.4655,-0.8673
0.4708,-0.868
0.4762,-0.87041
0.4815,-0.87221
0.4868,-0.8677
0.4922,-0.85998
0.4975,-0.85917
0.5029,-0.85968
0.5082,-0.86128
0.5135,-0.86268
0.5189,-0.86248
0.5242,-0.86128
0.5295,-0.86098
0.5349,-0.86018
0.5402,-0.85917
0.5456,-0.85837
0.5509,-0.85747
0.5562,-0.85707
0.5616,-0.85576
0.5669,-0.85456
0.5722,-0.85286
0.5776,-0.85165
0.5829,-0.85095
0.5883,-0.84995
0.5936,-0.84844
0.5989,-0.84654
0.6043,-0.84534
0.6096,-0.84373
0.6149,-0.84203
0.6203,-0.83982
0.6256,-0.83822
0.6310,-0.83631
0.6363,-0.8342
0.6416,-0.8321
0.6470,-0.82999
0.6523,-0.82779
0.6576,-0.82558
0.6630,-0.82357
0.6683,-0.82137
0.6737,-0.81856
0.6790,-0.81475
0.6843,-0.81184
0.6897,-0.80923
0.6950,-0.80683
0.7003,-0.8318
0.7057,-0.88394
0.7110,-0.88525
0.7164,-0.88665
0.7217,-0.88816
0.7270,-0.88896
0.7324,-0.88846
0.7377,-0.88806
0.7466,-0.88765
0.7519,-0.88715
0.7573,-0.88705
0.7626,-0.88645
0.7680,-0.88625
0.7733,-0.88575
0.7786,-0.88515
0.7840,-0.88394
0.7893,-0.88344
0.7946,-0.88224
0.8000,-0.88174
0.8053,-0.88063
0.8107,-0.87993
0.8160,-0.87903
0.8213,-0.87793
0.8267,-0.87602
0.8320,-0.87402
0.8373,-0.87171
0.8427,-0.87021
0.8480,-0.8674
0.8542,-0.8669
0.8596,-0.86429
0.8649,-0.86278
0.8703,-0.86198
0.8756,-0.86098
0.8809,-0.86008
0.8863,-0.85907
0.8916,-0.85827
0.8969,-0.85717
0.9023,-0.85647
0.9076,-0.85526
0.9130,-0.85456
0.9183,-0.85336
0.9236,-0.85286
0.9290,-0.85286
0.9343,-0.85286
0.9396,-0.85226
0.9450,-0.85155
0.9503,-0.85105
0.9557,-0.85105
