# CR-2144 printed p.224, PDF page 229, top panel, C_ybeta (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.4/-0.8/-1.2
# tick fit residual: x 0.7 px, y 0.8 px (1 px = 0.00089 Mach)
# circle 8 (FC8) reads: -0.89167   [model carries: not supplied]
# circle 10 (FC10) reads: -0.86278   [model carries: not supplied]
# manual clip applied: Mach 0.65 to -
mach,value
0.6505,-0.88104
0.6559,-0.87953
0.6612,-0.87823
0.6665,-0.87682
0.6719,-0.87572
0.6772,-0.87562
0.6826,-0.87733
0.6879,-0.87893
0.6932,-0.88043
0.6986,-0.88214
0.7039,-0.88354
0.7092,-0.88475
0.7146,-0.88625
0.7199,-0.88775
0.7253,-0.88886
0.7306,-0.88866
0.7359,-0.88806
0.7413,-0.88775
0.7466,-0.88765
0.7519,-0.88715
0.7573,-0.88705
0.7626,-0.88645
0.7680,-0.88625
0.7733,-0.88575
0.7786,-0.88515
0.7840,-0.88394
0.7893,-0.88344
0.7946,-0.88224
0.8000,-0.88174
0.8053,-0.88063
0.8107,-0.87993
0.8160,-0.87903
0.8213,-0.87793
0.8267,-0.87602
0.8320,-0.87402
0.8373,-0.87171
0.8427,-0.87021
0.8480,-0.8674
0.8542,-0.8669
0.8596,-0.86449
0.8649,-0.86288
0.8703,-0.86198
0.8756,-0.86098
0.8809,-0.86008
0.8863,-0.85907
0.8916,-0.85827
0.8969,-0.85727
0.9023,-0.85647
0.9076,-0.85526
0.9130,-0.85456
0.9183,-0.85336
0.9236,-0.85286
0.9290,-0.85286
0.9343,-0.85286
0.9396,-0.85226
0.9450,-0.85155
0.9503,-0.85105
0.9557,-0.85105
