# CR-2144 printed p.225, PDF page 230, top panel, C_lp (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.2/-0.4
# tick fit residual: x 0.2 px, y 0.5 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: -0.32423   [model carries: not supplied]
# manual clip applied: Mach 0.38 to -
mach,value
0.3803,-0.32081
0.3854,-0.32081
0.3905,-0.32081
0.3956,-0.32067
0.4007,-0.32038
0.4058,-0.32024
0.4109,-0.31996
0.4160,-0.31981
0.4211,-0.31953
0.4262,-0.31953
0.4313,-0.3191
0.4363,-0.31868
0.4414,-0.31839
0.4465,-0.31782
0.4516,-0.31763
0.4567,-0.31706
0.4618,-0.31697
0.4669,-0.32219
0.4720,-0.32636
0.4771,-0.32636
0.4822,-0.32636
0.4873,-0.32636
0.4924,-0.32636
0.4975,-0.32589
0.5025,-0.32551
0.5076,-0.32551
0.5127,-0.32551
0.5178,-0.32551
0.5229,-0.32551
0.5280,-0.32551
0.5331,-0.32522
0.5382,-0.32508
0.5450,-0.32489
0.5501,-0.32432
0.5552,-0.32423
0.5603,-0.32423
0.5713,-0.32423
0.5764,-0.32423
0.5815,-0.32399
0.5866,-0.32394
0.5917,-0.32423
0.5968,-0.32423
0.6027,-0.32423
0.6078,-0.32423
0.6129,-0.32427
0.6180,-0.3248
0.6231,-0.32536
0.6282,-0.32551
0.6333,-0.32551
0.6383,-0.32551
0.6434,-0.32551
0.6485,-0.32551
0.6536,-0.32551
0.6587,-0.32551
0.6638,-0.32551
0.6689,-0.32551
0.6740,-0.32551
0.6791,-0.32551
0.6842,-0.32517
0.6893,-0.32465
0.6944,-0.32465
0.6995,-0.32465
0.7045,-0.32451
0.7096,-0.32394
0.7147,-0.32361
0.7198,-0.32337
0.7249,-0.32337
0.7300,-0.32271
0.7351,-0.32072
0.7402,-0.32209
0.7453,-0.32423
0.7504,-0.32295
0.7555,-0.32038
0.7606,-0.32223
0.7657,-0.3247
0.7707,-0.32579
0.7758,-0.32494
0.7809,-0.32579
0.7860,-0.32636
0.7911,-0.32669
0.7962,-0.32721
0.8013,-0.32721
0.8064,-0.32774
0.8115,-0.32807
0.8166,-0.32674
0.8217,-0.32503
0.8268,-0.32238
0.8319,-0.31896
0.8370,-0.31977
0.8420,-0.32456
0.8471,-0.32513
0.8522,-0.32394
0.8573,-0.32247
0.8624,-0.32062
0.8675,-0.3173
0.8726,-0.31379
0.8777,-0.31374
0.8828,-0.31208
0.8879,-0.30952
0.8930,-0.30696
0.8981,-0.3044
0.9032,-0.30184
0.9082,-0.29928
0.9133,-0.29562
0.9184,-0.29273
0.9235,-0.29083
0.9286,-0.29055
0.9337,-0.28329
0.9388,-0.27879
0.9439,-0.27874
0.9490,-0.2767
0.9541,-0.26944
0.9592,-0.26489
0.9617,-0.26451
