# CR-2144 printed p.225, PDF page 230, top panel, C_lp (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.2/-0.4
# tick fit residual: x 0.2 px, y 0.5 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: -0.3174   [model carries: not supplied]
# circle 10 (FC10) reads: -0.30544   [model carries: not supplied]
# manual clip applied: Mach 0.65 to -
mach,value
0.6502,-0.32551
0.6553,-0.32551
0.6604,-0.32551
0.6655,-0.32551
0.6706,-0.32551
0.6757,-0.32551
0.6808,-0.32551
0.6859,-0.32498
0.6910,-0.32465
0.6961,-0.32465
0.7012,-0.32465
0.7062,-0.32432
0.7113,-0.3238
0.7164,-0.32351
0.7215,-0.32337
0.7266,-0.32337
0.7317,-0.32204
0.7368,-0.32038
0.7419,-0.32295
0.7470,-0.32423
0.7521,-0.32209
0.7572,-0.32038
0.7640,-0.3235
0.7691,-0.32589
0.7741,-0.32522
0.7792,-0.32541
0.7843,-0.32636
0.7894,-0.3265
0.7945,-0.32707
0.7996,-0.32721
0.8047,-0.32755
0.8098,-0.32807
0.8149,-0.3274
0.8200,-0.32541
0.8251,-0.32366
0.8302,-0.31967
0.8353,-0.31967
0.8403,-0.32159
0.8454,-0.32091
0.8505,-0.3197
0.8556,-0.31849
0.8607,-0.31747
0.8658,-0.3154
0.8709,-0.31391
0.8760,-0.31384
0.8811,-0.31284
0.8862,-0.31038
0.8913,-0.30781
0.8964,-0.30525
0.9015,-0.30269
0.9065,-0.30013
0.9116,-0.29686
0.9167,-0.29335
0.9218,-0.2914
0.9269,-0.29045
0.9320,-0.28594
0.9371,-0.27902
0.9422,-0.27879
0.9473,-0.27812
0.9524,-0.27238
0.9575,-0.26588
0.9617,-0.26451
